S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM190100116,1,Y,01/02/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,30MI12A06RAJ, 651.5 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,
SO03-IDM190100118,1,Y,01/02/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,40MI12A06RAJ, 237.0 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,
SO03-IDM190100119,1,Y,01/02/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,M5FNXXS06XXX, 156.0 ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,
SO03-IDM170900115,1,Y,01/02/2019,FAHMI HADI WIHARJA,CU00360,PT WIJAYA KARYA BANGUNAN GEDUNG TBK,DPWKB00030,ARANDRA RESIDENCE APARTEMENT,JL CEMPAKA PUTIH RAYA NO 1RT 01 RW 06 CEMPAKA PUTIH JAKARTA PUSAT    , ,LCFI12A06XXX, 73.0 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,C9000C,,
SO03-IDM181100491,1,Y,01/02/2019,HERLEN DHARMA PUTRA,CU00360,PT WIJAYA KARYA BANGUNAN GEDUNG TBK,DPWKB00030,ARANDRA RESIDENCE APARTEMENT,JL CEMPAKA PUTIH RAYA NO 1RT 01 RW 06 CEMPAKA PUTIH JAKARTA PUSAT    , ,40MD12A06ARP, 101.5 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,C9000C,,
SO03-IDM181200422,1,Y,01/02/2019,HERLEN DHARMA PUTRA,CU00360,PT WIJAYA KARYA BANGUNAN GEDUNG TBK,DPWKB00030,ARANDRA RESIDENCE APARTEMENT,JL CEMPAKA PUTIH RAYA NO 1RT 01 RW 06 CEMPAKA PUTIH JAKARTA PUSAT    , ,35MD08A06ARI, 382.5 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,C9000C,,
SO03-IDM181200623,1,Y,01/02/2019,HERLEN DHARMA PUTRA,CU00360,PT WIJAYA KARYA BANGUNAN GEDUNG TBK,DPWKB00030,ARANDRA RESIDENCE APARTEMENT,JL CEMPAKA PUTIH RAYA NO 1RT 01 RW 06 CEMPAKA PUTIH JAKARTA PUSAT    , ,30MD12A06ARP, 631.0 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,C9000C,,
