S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210600179,1,Y,18/06/2021,DEDE JUNAEDI,CU04612,PT. PROYEKIN BANGUN NEGERI,DPPBN00010,BP HERIYANTO. CITRA GRAN CIBUBUR CLUSTER CENTRAL GARDEN BLOK G15 NO 50 RT 002,RW 013 KEL JATIKARYA KEC JATISAMPURNA    , ,22FI12A06XXX,6.00 ,6.0,,,6.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000E,,
SO03-IDM210600189,1,Y,18/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,60.00 ,5.0,,,,5.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400124,1,Y,18/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1396.50 ,21.0,,,,21.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400125,1,Y,18/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30PX12A06XXX,1000.00 ,21.0,,,,,21.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,18/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,2794.00 ,42.0,,,,,,,21.00,,21.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600186,1,Y,18/06/2021,FERDY WIDASMARA,CU00742,PT CAHAYA NUSA PERKASA,DPCUP00033,"KOTA WISATA MIAMI BLOK SL6, SL7",CIBUBUR    , ,22FI12A06XXX,15.00 ,15.0,,7.00,8.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600194,1,Y,18/06/2021,FERDY WIDASMARA,CU01745,PT PUSAKA SINAR INTAN,DPPSI00042,CITRA GRAND CBD CIBUBUR BLOK G3,CIBUBUR    , ,LCFU12A06XXX,7.00 ,7.0,,,,,,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,
SO08-IDM210600036,1,Y,18/06/2021,DEDE JUNAEDI,CU04324,PT. KUSUMA KARYA ABADI,DPKKA00004,GEREJA TIBERIAS BEKASI TOWN SQUARE,BEKASI JAWA BARAT    , ,30PX12A06XXX,4.00 ,3.0,,3.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM210600037,1,Y,18/06/2021,DEDE JUNAEDI,CU04324,PT. KUSUMA KARYA ABADI,DPKKA00004,GEREJA TIBERIAS BEKASI TOWN SQUARE,BEKASI JAWA BARAT    , ,35PX12A06XXX,4.00 ,3.0,,3.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600243,1,Y,18/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00023,CV CIBALAGUNG INDAH PERSADA PROYEK PENGECORAN GUDANG BLOK 24-31 PT RUSLI VILON,SAKTI PANGKALAN 6 BEKASI    , ,30PX12A06XXX,87.00 ,35.0,,21.00,14.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
