S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM230100250,1,Y,03/02/2023,HERI KUSWANTO,CU02958,PT ALVINDO BANGUN SARANA MANDIRI,DPABS00188,CLUSTER ZLIVING PERUMAHAN GRAND WISATA TAMBUN,BEKASI    , ,22FI12A06XXX,150.00 ,150.00 ,120.00,,,,,,,,21.00,21.00,21.00,21.00,,21.00,15.00,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM230100246,1,Y,03/02/2023,HERI KUSWANTO,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00007,PERUMAHAN Z LIVING GRAND WISATA JL WESTERN BOULEVARD RW 12 LAMBANG SARI,BEKASI SELATAN - BEKASI    , ,22FI12A06XXX,205.00 ,205.00 ,21.00,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000A,,,
SO03-IDM230100225,1,Y,03/02/2023,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,35.00 ,14.00,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO21-IDM221000013,1,Y,03/02/2023,FERDY WIDASMARA,CU01857,PT HAKAASTON,DPHKS00013,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VIPER45-03,641.55 ,90.25 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.00,MANUAL,C9000D,,,
SO03-IDM230100138,1,Y,03/02/2023,HERI KUSWANTO,CU03010,PT MAJU ANEKA SARANA,DPMAS00028,PT PULAUINTAN/AMBOJA. JL RAYA MABES HANKAM KEL BAMBU APUS,JAKARTA    , ,30FV12A06XXX,250.00 ,30.00 ,14.00,,,,,,,,,7.00,,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM230100277,1,Y,03/02/2023,HERI KUSWANTO,CU03010,PT MAJU ANEKA SARANA,DPMAS00028,PT PULAUINTAN/AMBOJA. JL RAYA MABES HANKAM KEL BAMBU APUS,JAKARTA    , ,30FV12A06XXX,200.00 ,200.00 ,70.00,,,,,,,,,,,,,14.00,14.00,14.00,14.00,14.00,,,,,,,,MANUAL,C3000D,,,
SO11-IDM221000003,1,Y,03/02/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,BC25XXA06JOR,641.55 ,484.45 ,6.00,,,,,,,,,,,,,,,,,,,6.00,,,,,,MANUAL,C3000C,,,
SO11-IDM221000004,1,Y,03/02/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VCTB,641.55 ,162.45 ,6.00,,,,,,,,,,,,,,,,,,,,6.00,,,,,MANUAL,C3000C,,,
SO02-IDM230200003,1,Y,03/02/2023,FERDY WIDASMARA,CU05377,PT. KAPEZTA MULTI MANDIRI,DPKMM00011,PROYEK CLUSTER Z LIVING GRAND WISATA,BEKASI TIMUR    , ,40FI12A06XXX,55.00 ,49.00 ,35.00,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,,,MANUAL,C0000E,,,
