S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R28CMP - Plant Cempaka Putih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM190100119,1,Y,05/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,M5FNXXS06XXX,114.00 ,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,CPS,C3000D,,
SO03-IDM190500062,1,Y,05/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,35MI16A06SP1,189.00 ,42.0,,,,,,,,,,,,,,,,,,,,,21.0,21.0,,,CPS,C3000D,,
SO03-IDM190600074,1,Y,05/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,35MI12A06SP1,161.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,MANUAL,C3000D,,
SO03-IDM190700225,1,Y,05/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,40MI12A06RAJ,609.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,MANUAL,C3000D,,
SO03-IDM190700416,1,Y,05/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,45MI16A06RAJ,198.50 ,7.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,MANUAL,C3000D,,
SO03-IDM190700533,1,Y,05/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,30MI12A06RAJ,856.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,MANUAL,C3000D,,
SO03-IDM190700501,1,Y,05/08/2019,EMON PRAYOGA,CU00182,PT CIPTA SARANA SUKSES ABADI,DPCSS00066,PROYEK PEMBANGUNAN AREA PARKIR RUKAN FOOD STREET SCBR BLOK F,"SEDAYU CITY TAHAP 2, KELAPA GADING    ", ,22FI12A06XXX,50.00 ,5.5,,,,,,,,,,,,,,5.5,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM190800061,1,Y,05/08/2019,GUSWILDAN GIOVANI,CU02928,PT. ISTANA INTAN RAYA,CUIIR00002,PROYEK PEMBANGUNAN GELANGGAN REMAJA DUREN SAWIT JL. BALAI RAKYAT NO 14,DUREN SAWIT JAKARTA TIMUR    , ,30FI12A06XXX,300.00 ,100.0,,,,,,,,,,21.0,21.0,21.0,21.0,16.0,,,,,,,,,,,CPS,C3000D,,
SO03-IDM190100119,1,Y,04/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,M5FNXXS06XXX,114.00 ,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,CPS,C3000D,,
SO03-IDM190500062,1,Y,04/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,35MI16A06SP1,189.00 ,42.0,,,,,,,,,,,,,,,,,,,,,21.0,21.0,,,CPS,C3000D,,
SO03-IDM190600074,1,Y,04/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,35MI12A06SP1,161.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,MANUAL,C3000D,,
SO03-IDM190700225,1,Y,04/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,40MI12A06RAJ,609.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,MANUAL,C3000D,,
SO03-IDM190700416,1,Y,04/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,45MI16A06RAJ,198.50 ,7.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,MANUAL,C3000D,,
SO03-IDM190700533,1,Y,04/08/2019,HERLEN DHARMA PUTRA,CU02194,PT POSCO E&C INDONESIA,DPPEI00002,RAJAWALI PLACE. SITE OFFICE GD ST REGIS,JL SETIABUDI SELATAN KAV 2 JAKARTA SELATAN    ,SAFAA: 08121912933,30MI12A06RAJ,856.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,MANUAL,C3000D,,
