S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700095,1,Y,13/07/2021,FERDY WIDASMARA,CU00742,PT CAHAYA NUSA PERKASA,DPCUP00033,"KOTA WISATA MIAMI BLOK SL6, SL7",CIBUBUR    , ,22FI12A06XXX,300.00 ,60.0,,14.00,21.00,21.00,4.00,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210700159,1,Y,13/07/2021,FERDY WIDASMARA,CU00818,PT KEMBANG SEPASANG JAYA,DPKSJ00049,"PT. INDESSO AROMA, JL. ALTERNATIF CIBUBUR NO.KM.9 RT 03 RW 04, CILEUNGSI","KEC. CILEUNGSI, BOGOR JAWA BARAT    ", ,30FI12A06XXX,14.00 ,14.0,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210400124,1,Y,13/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,319.50 ,49.0,,,,21.00,7.00,21.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,13/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,765.00 ,60.0,,,,7.00,7.00,7.00,7.00,,,14.00,,18.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700158,1,Y,13/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,60.00 ,5.0,,,,,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700066,1,Y,13/07/2021,DEDE JUNAEDI,CU01255,PT STRUCTURAL PRECAST CONCRETE INDONESIA,DPSPC00024,PEMBANGUNAN JEMBATAN METLAND UJUNG,MENTENG    , ,30FI12A06XXX,18.50 ,15.0,,7.00,8.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700120,1,Y,13/07/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00013,HO-HEAD OFFICE-EQUIPMENT JL WIBAWA MUKTI II NO 14 JATIASIH,JATIASIH BEKASI    , ,25MX12A06XXX,15.00 ,8.0,,,,,8.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
