S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210400123,1,Y,08/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,837.90 ,7.0,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,08/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,3544.00 ,50.0,,,,10.00,,10.00,,10.00,,,10.00,,,10.00,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210300364,1,Y,08/06/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00011,APARTEMENT MEGA CITY BEKASI,JL AHMAD YANI   NO 1 BEKASI JAWA BARAT    , ,35MI14A06MBX,96.00 ,15.0,,,15.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600004,1,Y,08/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,45.00 ,5.0,,,,,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600062,1,Y,08/06/2021,DEDE JUNAEDI,CT04814,BP AMAD TAJERI (NIK 3302191311770002),DRAMT00006,GUDANG KERTAS JL KUBANG CIPEUCANG KEC CILEUNGSI BOGOR,JAWA BARAT 16820    , ,30PX12A06XXX,60.00 ,60.0,,21.00,21.00,18.00,,,,,,,,,,,,,,,,,,,,,CPS,C0000E,,
SO03-IDM210600022,1,Y,08/06/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00020,GUDANG PT WIDYA SAKTI KUSUMA. SAMPING PABRIK ARNOTT HARAPAN BARU,BEKASI    , ,30PX12A06GAP,96.00 ,7.5,,,,,7.50,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600064,1,Y,08/06/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00209,LOCO. PT BURDA CONTRACO PROYEK MALL REVO,BEKASI    , ,35PX12A06XXX,2.00 ,2.0,,2.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600065,1,Y,08/06/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00209,LOCO. PT BURDA CONTRACO PROYEK MALL REVO,BEKASI    , ,35BX18C06XXX,2.00 ,2.0,,2.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
