S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210400003,1,Y,22/06/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,235.50 ,40.0,,,,,,21.00,19.00,,,,,,,,,,,,,,,,,,CPS,C3000C,,
SO03-IDM210600022,1,Y,22/06/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00020,GUDANG PT WIDYA SAKTI KUSUMA. SAMPING PABRIK ARNOTT HARAPAN BARU,BEKASI    , ,30PX12A06GAP,71.00 ,6.0,,,6.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400280,1,Y,22/06/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,169.00 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600300,1,Y,22/06/2021,DEDE JUNAEDI,CU04571,PT. PARAMA SAKA,DPPAS00008,"UAB POULTRY PT UNIVERSAL AGRI BISNISINDO JL NAROGONG KM 13,5 BANTAR GEBANG",BEKASI    , ,22FI12A06XXX,9.00 ,9.0,,9.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600305,1,Y,22/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00023,CV CIBALAGUNG INDAH PERSADA PROYEK PENGECORAN GUDANG BLOK 24-31 PT RUSLI VILON,SAKTI PANGKALAN 6 BEKASI    , ,LCPX12A06XXX,21.00 ,21.0,,,21.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600189,1,Y,22/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,25.00 ,10.0,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400123,1,Y,22/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,729.40 ,21.0,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,22/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,2504.50 ,42.0,,,14.00,,,,,14.00,,,14.00,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600233,1,Y,22/06/2021,FERDY WIDASMARA,CU00818,PT KEMBANG SEPASANG JAYA,DPKSJ00049,"PT. INDESSO AROMA, JL. ALTERNATIF CIBUBUR NO.KM.9 RT 03 RW 04, CILEUNGSI","KEC. CILEUNGSI, BOGOR JAWA BARAT    ", ,30FI12A06XXX,12.00 ,12.0,,12.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,
SO02-IDM210600313,1,Y,22/06/2021,DEDE JUNAEDI,CU04538,CV. ALHADI BERKAH SUKSES,DPAHS00044,BP SURYA ARIBAWA MANDIRI PROPERTY. PERUMAHAN DUKUH ZAMRUD BLOK S13 NO 31,BEKASI    , ,25FI12A06XXX,7.00 ,7.0,,7.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
