S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM221100558,1,Y,29/11/2022,FERDY WIDASMARA,CU05377,PT. KAPEZTA MULTI MANDIRI,DPKMM00011,PROYEK CLUSTER Z LIVING GRAND WISATA,BEKASI TIMUR    , ,40FI10A06XXX,55.00 ,55.00 ,49.00,,,,,,,,,,,14.00,14.00,14.00,7.00,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM221100214,1,Y,29/11/2022,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,45.00 ,15.00,,,,,,,,,,5.00,5.00,5.00,,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM221100252,1,Y,29/11/2022,FERDY WIDASMARA,CU02387,PT KHASEA BERSAUDARA HA9NKOE,DRKBH00087,PENINGKATAN JALAN MASJID AL IKLASH RW 06 KEL PEJUANG KEC MEDAN SATRIA,BEKASI    , ,30MX12A06XXX,54.00 ,54.00 ,49.00,,,,,,,,,,,,,,,14.00,14.00,14.00,7.00,,,,,,,MANUAL,C3000E,,
SO03-IDM221100186,1,Y,29/11/2022,HERI KUSWANTO,CU04598,PT. MITRA PRATAMA MANDIRI JAYA PERKASA,DPMPJ00009,PT MONI 1 - BEKASI,BEKASI    , ,25PX12A06XXX,60.00 ,43.50 ,14.00,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C3000A,,
SO03-IDM221000198,1,Y,29/11/2022,FERDY WIDASMARA,CU05016,PT. MEGA CITRA PRATAMA,DPMCP00004,BUKIT PODOMORO JL I GUSTI NGURAH RAI KLENDER,JAKARTA    , ,30PX12A06XXX,1000.00 ,506.00 ,14.00,,,,,,,,,,,,,,,7.00,7.00,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220900376,1,Y,29/11/2022,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00093,12001457. PT PRIMA SOLUSI INTEGRA GUDANG JL CIPENDAWA BARU NO 288 KEC RAWALUMBU,KOTA BEKASI    , ,BC25XXA11XXX,600.00 ,26.00 ,7.00,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM221100171,1,Y,29/11/2022,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00097,12001505. PT PRIMA SOLUSI INTEGRA GUDANG JL CIPENDAWA BARU NO 288 KEC RAWALUMBU,KOTA BEKASI    , ,BC14XXC11XXX,210.00 ,105.00 ,21.00,,,,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM221100193,1,Y,29/11/2022,FERDY WIDASMARA,CU04745,CV. CIBALAGUNG INDAH PERSADA,DPCIP00006,"PT RUSLI VINILON SAKTI JL RAYA NAROGONG KM 15,5",KAB BOGOR    , ,30FN12A06XXX,200.00 ,95.00 ,21.00,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,,,,,MANUAL,C3000A,,
SO21-IDM221000004,1,Y,29/11/2022,FERDY WIDASMARA,CU00234,PT KARYA PALMALINDO ANUGERAH,DPKPA00040,PROJECT SUNTER PERMAI RAYA,JAKARTA    , ,VIPER08,652.00 ,438.70 ,24.00,,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,MANUAL,C3000D,,
SO21-IDM220900004,1,Y,29/11/2022,SULAIMAN,CU00234,PT KARYA PALMALINDO ANUGERAH,DPKPA00040,PROJECT SUNTER PERMAI RAYA,JAKARTA    , ,VCTB,489.00 ,181.00 ,18.00,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,,,,MANUAL,C3000D,,
SO21-IDM221000013,1,Y,29/11/2022,FERDY WIDASMARA,CU01857,PT HAKAASTON,DPHKS00013,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VIPER45-03,641.55 ,432.05 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.00,MANUAL,C9000D,,
SO11-IDM221000003,1,Y,29/11/2022,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,BC25XXA06JOR,641.55 ,539.45 ,6.00,,,,,,,,,,,,,,,,,,,,,6.00,,,,MANUAL,C3000C,,
SO11-IDM221000004,1,Y,29/11/2022,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VCTB,641.55 ,456.35 ,6.00,,,,,,,,,,,,,,,,,,,,,,6.00,,,MANUAL,C3000C,,
SO03-IDM221100200,1,Y,29/11/2022,FERDY WIDASMARA,CU04437,PT KARYAPRIMA SUKSES MANDIRI,DPKSM00015,CLUSTER CURTINA - TERA DAMAI JL GREEN CITY NO 1 SRIAMUR KEC TAMBUN UTARA,KAB BEKASI JAWA BARAT 17510    , ,22PX12A06XXX,14.00 ,9.50 ,5.00,,,,,,,,,5.00,,,,,,,,,,,,,,,,MANUAL,C3000A,,
SO02-IDM221100674,1,Y,29/11/2022,FERDY WIDASMARA,CT04003,BP SUJIANTO (NIK 3172060605790004),DRSJT00004,PEMBANGUNAN GEDUNG KARYA PASTORAL GEREJA SANTA CLARA. JL LINGKAR UTARA RT 03,RW 06 HARAPAN BARU BEKASI UTARA 17123    , ,35PX12A06XXX,10.00 ,5.00 ,5.00,,,,,,,,,,5.00,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM221100265,1,Y,29/11/2022,FERDY WIDASMARA,CU02387,PT KHASEA BERSAUDARA HA9NKOE,DRKBH00088,PENINGKATAN JALAN RT 02 RT 03 RW 23 KEL PEJUANG KEC MEDAN SATRIA,BEKASI    , ,30MX12A06XXX,74.00 ,74.00 ,42.00,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,MANUAL,C3000E,,
