S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600416,1,Y,05/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,50.00 ,14.0,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700022,1,Y,05/07/2021,DEDE JUNAEDI,CU02737,CV NU ASA,DPNUA00118,BP FRANS GUSMANDRA/BP UDIN. JL. KARANG SATRIA PERUM LIBERSA GARDEN A1/2,DUREN JAYA BEKASI    , ,22FU12A06XXX,16.00 ,16.0,,,,16.00,,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210700038,1,Y,05/07/2021,SULAIMAN,CU02737,CV NU ASA,DPNUA00348,BP YUSMAN. MASJID JAMI ASSYAKIRIN JL GADING RAYA PONDOK BAMBU,JAKARTA TIMUR    , ,22FU12A06XXX,10.00 ,10.0,,,,,10.00,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210400280,1,Y,05/07/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,144.00 ,147.0,,21.00,21.00,21.00,21.00,21.00,21.00,21.00,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210400003,1,Y,05/07/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,106.50 ,40.0,,,,,,,,,21.00,19.00,,,,,,,,,,,,,,,CPS,C3000C,,,
SO02-IDM210700049,1,Y,05/07/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00236,LOCO. IBU DINI ANDRIYANI JL KALIABANG ILIR RT 003 RW 007 PEJUANG MEDAN SATRIA,BEKASI    , ,22PX12A06XXX,6.00 ,6.0,,6.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210400124,1,Y,04/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,844.00 ,42.0,,,,21.00,,21.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,04/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,1857.50 ,56.0,,,21.00,,,,21.00,,,14.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700045,1,Y,04/07/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00235,LOCO. BP PARMIN PERUM GRIYA BUKIT JAYA JL GRIYA BUKIT JAYA TLAJUNG UDIK,GUNUNG PUTRI BOGOR    , ,25PX12A06XXX,3.00 ,3.0,,3.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210200196,1,Y,04/07/2021,DEDE JUNAEDI,CU01255,PT STRUCTURAL PRECAST CONCRETE INDONESIA,DPSPC00024,PEMBANGUNAN JEMBATAN METLAND UJUNG,MENTENG    , ,LCFU12A06XXX,87.50 ,6.0,,,6.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700024,1,Y,04/07/2021,DEDE JUNAEDI,CU01034,PT BIYA MAESTRO HARDSCAPE,DPBMH00022,MORIZEN SUMMARECON BEKASI,BEKASI    , ,25FI12A06XXX,4.00 ,4.0,,,,,4.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
