S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO11-IDM230300001,1,Y,23/06/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00433,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,BC25XXA06JOR,900.00 ,352.70 ,7.00,,,,,,,,,,,,,,,,,,,,,,,7.00,,MANUAL,C3000C,,
SO21-IDM230300002,1,Y,23/06/2023,FERDY WIDASMARA,CU01222,PT. MULTI KARYA CEMERLANG,DPMKC00005,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,VIPER45-03,630.00 ,114.38 ,14.00,,,,,,,,,,,,,,,,,,,,,,7.00,7.00,,MANUAL,C1400D,,
SO21-IDM230300003,1,Y,23/06/2023,FERDY WIDASMARA,CU01222,PT. MULTI KARYA CEMERLANG,DPMKC00005,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,VIPER45-06,110.00 ,110.00 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,7.00,MANUAL,C1400D,,
SO03-IDM230600069,1,Y,23/06/2023,FERDY WIDASMARA,CU00146,PT ARTHURINDO ARTHAMAS GRAHA,DPAAG00038,CLUSTER DANISHA SRIAMUR BABELAN,KAB BEKASI    , ,22FI12A06XXX,50.00 ,22.00 ,7.00,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM230600426,1,Y,23/06/2023,FERDY WIDASMARA,CU05450,PT. SARMA RAYA CIPTA,DPSRC00008,GRAND WISATA MUSTIKA JAYA,BEKASI    , ,30FV12A06XXX,12.00 ,12.00 ,12.00,,,,,,,,,,,,,,,12.00,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM230500079,1,Y,23/06/2023,HERI KUSWANTO,CU00145,PT ANUGRAH RAYNI SENTOSA,DPARS00080,TERA DAMAI.23.02-PROYEK TERA DAMAI RUKO BRANTA SRIAMUR,BEKASI UTARA    , ,22FV12A06XXX,86.00 ,81.00 ,81.00,,,,,,,,,,,,,,,,,,14.00,21.00,21.00,14.00,11.00,,,CPS,C3000C,,
SO03-IDM230500164,1,Y,23/06/2023,HERI KUSWANTO,CU00145,PT ANUGRAH RAYNI SENTOSA,DPARS00080,TERA DAMAI.23.02-PROYEK TERA DAMAI RUKO BRANTA SRIAMUR,BEKASI UTARA    , ,22FV12A06XXX,200.00 ,98.00 ,20.00,,,,,,,,,,,,,,,,,,,,,20.00,,,,CPS,C3000C,,
SO03-IDM230600104,1,Y,23/06/2023,HERI KUSWANTO,CU02632,PT KIRANA KURNIA KREASI,DPKKI00027,PERUM GRAND WISATA - LEMONADE BLOK CC11 CC16,BEKASI    , ,22FI12A06XXX,100.00 ,100.00 ,100.00,,,,,,,,14.00,21.00,21.00,21.00,,14.00,9.00,,,,,,,,,,,CPS,C4500D,,
SO03-IDM230600201,1,Y,23/06/2023,FERDY WIDASMARA,CU01594,PT ANTEN ASRI PERKASA,DPAAP00011,CLUSTER PREMIUM GRAND WISATA,BEKASI    , ,35FI10C06XXX,10.00 ,10.00 ,6.00,,,,,,,,,6.00,,,,,,,,,,,,,,,,MANUAL,C3000E,,
SO02-IDM230600422,1,Y,23/06/2023,HERI KUSWANTO,CU05367,PT. LINITA KREASI PERSADA,DPLKP00004,PENINNGKATAN JALAN LINGKUNGAN RT 004 RW 035 TELUK PUCUNG PERUMAHAN BINTANG,METROPOL KEL PERWIRA KEC BEKASI UTARA    , ,30MX12A06BKS,34.00 ,34.00 ,34.00,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,6.00,,,,,MANUAL,C0000E,,
SO03-IDM230200025,1,Y,23/06/2023,HERI KUSWANTO,CU02632,PT KIRANA KURNIA KREASI,DPKKI00023,PERUM GRAND WISATA - LEMONADE BLOK CC10 CC11 CC15,BEKASI    , ,22FI12A06XXX,85.00 ,42.00 ,42.00,,,,,,,,,,,,,,21.00,21.00,,,,,,,,,,CPS,C4500D,,
