S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210400280,1,Y,28/06/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,161.00 ,35.0,,21.00,14.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400003,1,Y,28/06/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,153.50 ,50.0,,,21.00,21.00,8.00,,,,,,,,,,,,,,,,,,,,CPS,C3000C,,
SO03-IDM210400123,1,Y,28/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,719.40 ,21.0,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400124,1,Y,28/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1208.50 ,21.0,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,28/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,2190.00 ,28.0,,,7.00,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600334,1,Y,28/06/2021,FERDY WIDASMARA,CU02347,PT ADDEL CIPTA GRAHA,DPACG00031,PEMBANGUNAN 2 UNIT RUMAH TIPE CELESTE LEBAR 8 (160/124) BLOK CC,DI PERUMAHAN CITRA GRAN CIBUBUR    , ,22FI12A06XXX,6.00 ,6.0,,,,6.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600396,1,Y,28/06/2021,FERDY WIDASMARA,CU00971,CV GIEN MUDA PRATAMA,DPGMP00354,CLUSTER GREEN VALEY JL GREEN VALEY I RT 005 RW 013 CITRA GRAN,CIBUBUR    , ,30PX12A06XXX,24.00 ,24.0,,21.00,3.00,,,,,,,,,,,,,,,,,,,,,,CPS,C0000E,,
SO03-IDM210600333,1,Y,28/06/2021,DEDE JUNAEDI,CU00071,PT WAHANA PAPAN SEJATI,DCWPS00055,RUMAH TYPE CELLESTE BLOK CC33 CITRA GRAN,CIBUBUR    , ,22FI12A06XXX,10.00 ,10.0,,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600335,1,Y,28/06/2021,FERDY WIDASMARA,CU02347,PT ADDEL CIPTA GRAHA,DPACG00032,PEMBANGUNAN 2 UNIT RUMAH TIPE BELMONT LEBAR 10 (172/160) BLOK DD01,CITRA GRAN CIBUBUR    , ,22FI12A06XXX,13.50 ,13.5,,,,,,7.00,6.50,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400123,1,Y,27/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,719.40 ,14.0,,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400124,1,Y,27/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1208.50 ,28.0,,,,,7.00,7.00,7.00,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,27/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,2190.00 ,42.0,,,,,21.00,,,21.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600406,1,Y,27/06/2021,SULAIMAN,CU02382,CV WAHANA JAYA BETON,DPWJB00262,BP LIN POETIRAY. JL UTAN KAYU RAYA NO 13 UTANKAYU UTARA KEC. MATRAMAN,JAKARTA TIMUR    , ,30FI12A06XXX,6.00 ,6.0,,,,6.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600390,1,Y,27/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00031,BP ABDULLAH MUKMIN. MABES TNI ANGKATAN UDARA,CILANGKAP    , ,25FI12A06XXX,56.00 ,56.0,,21.00,21.00,14.00,,,,,,,,,,,,,,,,,,,,,CPS,C0000E,,
SO02-IDM210600404,1,Y,27/06/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00231,LOCO. BP WARDOYO PERUMAHAN BATAM JL PASIR GUNUNG SELATAN,CIMANGGIS DEPOK    , ,25PX12A06XXX,12.00 ,12.0,,,12.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
