S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600384,1,Y,28/06/2021,DEDE JUNAEDI,CT04271,BP AGUS SUROTO,DRAGO00008,BEKASI TIMUR REGENSI 7 JL BANTAR GEBANG BURANGKENG KEC SETU,BEKASI JAWA BARAT    , ,25PX12A06XXX,11.00 ,11.0,,,11.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600254,1,Y,28/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,45.00 ,10.0,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210300364,1,Y,28/06/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00011,APARTEMENT MEGA CITY BEKASI,JL AHMAD YANI   NO 1 BEKASI JAWA BARAT    , ,35MI14A06MBX,27.50 ,5.0,,,,,,5.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600319,1,Y,28/06/2021,DEDE JUNAEDI,CU04503,PT. CITRA BUANA KREASI PRATAMA,DPCBK00007,JL CIKIWUL NO 4 BANTAR GEBANG,BEKASI JAWA BARAT    , ,30FD14A06XXX,55.79 ,10.0,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,,BOREPILED,C3000D,,
SO03-IDM210600131,1,Y,28/06/2021,DEDE JUNAEDI,CU03118,PT MENARA PONDASI UTAMA,DPMPU00012,REVO TOWN JL A YANI KAV 1 PEKAYON,KOTA BEKASI    , ,30MX18A06GAP,47.00 ,14.0,,,,,,,,,14.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600372,1,Y,28/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00023,CV CIBALAGUNG INDAH PERSADA PROYEK PENGECORAN GUDANG BLOK 24-31 PT RUSLI VILON,SAKTI PANGKALAN 6 BEKASI    , ,LCPX12A06XXX,49.00 ,49.0,,,,,,,14.00,14.00,14.00,7.00,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600304,1,Y,28/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00023,CV CIBALAGUNG INDAH PERSADA PROYEK PENGECORAN GUDANG BLOK 24-31 PT RUSLI VILON,SAKTI PANGKALAN 6 BEKASI    , ,30PX12A06XXX,189.00 ,21.0,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
