S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210900203,1,Y,20/09/2021,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00039,REKON RAMP H,KP RAMBUTAN    , ,VCTB,250.00 ,30.0,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900325,1,Y,20/09/2021,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00039,REKON RAMP H,KP RAMBUTAN    , ,45RX08A06R3D,166.50 ,24.0,,,,,,,,,,,,,,,,,,,,,12.00,12.00,,,MANUAL,C3000D,,,
SO03-IDM210900115,1,Y,20/09/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,44.00 ,14.0,,,,,,,,,,,,,,,,,,,7.00,7.00,,,,,MANUAL,C3000D,,,
SO03-IDM210900167,1,Y,20/09/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1830.00 ,77.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,MANUAL,C3000D,,,
SO03-IDM210900168,1,Y,20/09/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,5000.00 ,105.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,MANUAL,C3000D,,,
SO03-IDM210900169,1,Y,20/09/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,1000.00 ,14.0,,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210900209,1,Y,20/09/2021,FERDY WIDASMARA,CU04773,PT. MULTI CIPTA BANGUN SERASI,DPMCS00012,RUKO DAN PERGUDANGAN MULTI BIZPARK SUMUR BATU,BANTARGEBANG    , ,35PX12A06XXX,86.50 ,14.0,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210900246,1,Y,20/09/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,45.00 ,15.0,,,,,,,,,5.00,5.00,5.00,,,,,,,,,,,,,,MANUAL,C3000A,,,
SO03-IDM210900299,1,Y,20/09/2021,FERDY WIDASMARA,CU04674,PT. PILAR CADAS PUTRA,DPPCP00009,PEMBANGUNAN GEDUNG KPP BEKASI UTARA,JL SERSAN ASWAN 407 BEKASI    , ,30PX12A06XXX,70.00 ,70.0,,,,,,,,,21.00,21.00,14.00,14.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210900324,1,Y,20/09/2021,DEDE JUNAEDI,CU00190,PT. DUA PUTRA PERKASA PRATAMA,DPDPP00025,PT DUA PUTRA PERKASA KWS INDUSTRI CIPENDAWA JL BARU CIPENDAWA NO 88,KEL BOJONG MENTENG KEC RAWA LUMBU KOTA BEKASI    , ,35PX12A06XXX,20.00 ,14.0,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,MANUAL,C0000A,,,
SO02-IDM210900293,1,Y,19/09/2021,DEDE JUNAEDI,CT04998,BP BENNY CRISTOPEL SIREGAR (NIK 1219012908920002),DRBCS00008,PENINGKATAN JALAN KOTA BEKASI JL LINGKUNGAN RT 03 RW 11 KEL JATI RADEN,BEKASI    , ,30MX12A06XXX,91.00 ,9.0,,,,,,,,9.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210900343,1,Y,19/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,934.00 ,35.0,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,CPS,C3000D,,,
