S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700180,1,Y,17/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,200.00 ,14.0,,,,,,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700181,1,Y,17/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,50.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700011,1,Y,17/07/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,789.00 ,100.0,,,21.00,21.00,21.00,21.00,16.00,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210700158,1,Y,17/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,40.00 ,10.0,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400123,1,Y,17/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,575.40 ,10.0,,,,,,,,,5.00,5.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,17/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,271.50 ,42.0,,,,,,,,21.00,21.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,17/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,301.50 ,60.0,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700209,1,Y,17/07/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00239,LOCO. BP HERMAN JL RAYA KSU NO 61A SUKMAJAYA TIRTAJAYA,DEPOK    , ,25PX12A06XXX,11.00 ,11.0,,6.00,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700211,1,Y,17/07/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00040,CV ALVABET. PERUMAHAN ARUMDANI ESTATE SEROJA,BEKASI UTARA    , ,35FI12A06XXX,28.00 ,14.0,,,,,,,,,,,,,,7.00,7.00,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700217,1,Y,17/07/2021,DEDE JUNAEDI,CU02650,PT DEFICYSIGAR PRATAMA,DPDSP00004,RUSUN TUNAWISMA KEMENTERIAN SOSIAL (RUSUNDKI21-01),JL MINI III KEL BAMBU APUS KEC CIPAYUNG JAKARTA TIMUR    , ,25MX12A06RST,50.00 ,21.0,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
