S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R25LGK - Plant Legok (Serpong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210400025,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU01171,PT GRAHA VIMALA ABADI,DPGVA00031,RUKO MAXWELL BLOK C,SUMMARECON SERPONG    , ,20MX12A06SMG,55.00 ,49.0,,21.00,21.00,7.00,,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,
SO03-IDM210500119,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU01034,PT BIYA MAESTRO HARDSCAPE,DPBMH00019,LAVON 2,TANGERANG    , ,22FI12A06R1X,400.00 ,10.0,,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,
SO03-IDM210600077,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU04540,PT. ZENTHA MAHARDDHIKA,DPZTM00002,CENDANA PEAK LIPPO KARAWACI,TANGERANG    , ,15MI12A06XXX,187.00 ,5.0,,5.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600078,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU04540,PT. ZENTHA MAHARDDHIKA,DPZTM00002,CENDANA PEAK LIPPO KARAWACI,TANGERANG    , ,20MI12C06XXX,87.50 ,5.0,,5.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600161,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU04540,PT. ZENTHA MAHARDDHIKA,DPZTM00002,CENDANA PEAK LIPPO KARAWACI,TANGERANG    , ,20MI12A06XXX,768.00 ,50.0,,,15.00,15.00,20.00,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,
SO02-IDM210600273,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU04633,PT. ARKINDO,DPADO00003,PENGADAAN PEKERJAAN KONSTRUKSI PEMB GEDUNG OLAHRAGA DAN AUDITORIUM POLITEKNIK,BPSDM HUKUM DAN HAM JL SATRIA SUDIRMAN TANAH TINGGI TANGERANG    , ,30FI12A06R1X,50.00 ,48.0,,,,,,18.00,18.00,12.00,,,,,,,,,,,,,,,,,CPS,C0000E,,
SO03-IDM210600005,1,Y,23/06/2021,ANDIKA BAGUS PRIO UTOMO,CU01781,PT PAGAR BATU LESTARI,DPPBL00008,TENJO PODOMORO CITY,TANGERANG    , ,30FI12A06R1X,7.00 ,4.0,,,,,,,,4.00,,,,,,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210100190,1,Y,23/06/2021,FAJAR TIRTASARI BAHRI,CU02796,PT KARYAMITRA TATABERSAMA,DPKTB00006,MAINDRAIN DAN POND CICAYUR STA 2+280 S/D 3+060,BSD    , ,25MI12A06XXX,925.50 ,77.0,,,,,,,,,14.00,21.00,21.00,21.00,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400171,1,Y,23/06/2021,MUHAMMAD RIZAL,CU02010,PT ASRI GRAHA MAKMUR,DPAGM00013,RUKO PISA GRANDE DEPAN RUKO SORRENTO JUNCTION PARAMOUNT,GADING SERPONG    , ,22FI12A06XXX,879.00 ,21.0,,,,,,,,7.00,14.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400247,1,Y,23/06/2021,MUHAMMAD RIZAL,CU00226,PT KARANDATU,DPKAR00041,PARAMOUNT LAND GADING SERPONG RUKO PISA GRANDE,SERPONG    , ,22FI12A06XXX,72.00 ,21.0,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C3000C,,
SO03-IDM210600242,1,Y,23/06/2021,MUHAMMAD RIZAL,CU01745,PT PUSAKA SINAR INTAN,DPPSI00041,ICE BUSINESS PARK TAHAP II BSD CITY,TANGERANG    , ,20MX12A06XXX,135.00 ,49.0,,,,14.00,14.00,14.00,7.00,,,,,,,,,,,,,,,,,,CPS,C3000D,,
