S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700180,1,Y,22/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,116.00 ,14.0,,,,,,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700181,1,Y,22/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,43.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700011,1,Y,22/07/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,589.00 ,21.0,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM201200384,1,Y,22/07/2021,FERDY WIDASMARA,CU04337,PT. BAHTERA MADYA UTAMA,DPBMU00002,"PT UNIVERSAL AGRI BISNISINDO. JL RAYA NAROGONG KM 13,5 BANTAR GEBANG",BEKASI    , ,30PX12A06XXX,9.00 ,6.0,,,6.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700262,1,Y,22/07/2021,FERDY WIDASMARA,CU04337,PT. BAHTERA MADYA UTAMA,DPBMU00002,"PT UNIVERSAL AGRI BISNISINDO. JL RAYA NAROGONG KM 13,5 BANTAR GEBANG",BEKASI    , ,30PX12A06XXX,5.00 ,5.0,,,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700158,1,Y,22/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,30.00 ,15.0,,,,7.00,8.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400123,1,Y,22/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,563.90 ,7.0,,,,,,,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,22/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,165.50 ,28.0,,,,,,,7.00,7.00,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700254,1,Y,22/07/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,4813.50 ,50.0,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700194,1,Y,22/07/2021,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00036,REKON GT PASAR REBO,GT PASAR REBO    , ,VCTB,27.00 ,14.0,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700135,1,Y,22/07/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,72.00 ,10.0,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210700234,1,Y,22/07/2021,DEDE JUNAEDI,CU01012,PT REKACIPTA BANGUN PRATAMA,DPRBP00047,GG-15. GRAND GALAXY JL LOTUS UTARA 2 BLOK D5 NO 25,PEKAYON    , ,22FI12C06XXX,30.00 ,6.0,,,,,6.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210600292,1,Y,22/07/2021,DEDE JUNAEDI,CU04324,PT. KUSUMA KARYA ABADI,DPKKA00004,GEREJA TIBERIAS BEKASI TOWN SQUARE (BETOS) JL CUT MEUTIA KEL MARGAHAYU,KEC BEKASI TIMUR    , ,35PX12A06XXX,9.00 ,6.0,,,,,,6.00,,,,,,,,,,,,,,,,,,,MANUAL,C6000D,,,
SO03-IDM210700151,1,Y,22/07/2021,DEDE JUNAEDI,CU04324,PT. KUSUMA KARYA ABADI,DPKKA00004,GEREJA TIBERIAS BEKASI TOWN SQUARE (BETOS) JL CUT MEUTIA KEL MARGAHAYU,KEC BEKASI TIMUR    , ,35PX12A06XXX,7.00 ,7.0,,,,,,,7.00,,,,,,,,,,,,,,,,,,MANUAL,C6000D,,,
SO03-IDM210700123,1,Y,22/07/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00041,"CV CIBALAGUNG INDAH PERSADA. PT RUSLI VINILON SAKTI JL NAROGONG KM 15,5",KAB BOGOR    , ,30PX12A06XXX,94.00 ,21.0,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
