S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM221000066,1,Y,12/10/2022,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,65.00 ,15.00,,,,,,,,,,,7.00,8.00,,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM220900376,1,Y,12/10/2022,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00093,12001457. PT PRIMA SOLUSI INTEGRA GUDANG JL CIPENDAWA BARU NO 288 KEC RAWALUMBU,KOTA BEKASI    , ,BC25XXA11XXX,600.00 ,411.00 ,28.00,,,,,,,,,,,,,7.00,7.00,7.00,7.00,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220900377,1,Y,12/10/2022,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00094,12001458. PT PRIMA SOLUSI INTEGRA GUDANG JL CIPENDAWA BARU NO 288 KEC RAWALUMBU,KOTA BEKASI    , ,BC14XXC11XXX,200.00 ,109.00 ,14.00,,,,,,,,,,,,,,,,,7.00,7.00,,,,,,,MANUAL,C3000D,,
SO02-IDM220900670,1,Y,12/10/2022,FERDY WIDASMARA,CU04717,PT. PURNA KARYA ENERGI,DPPKI00009,PROYEK TPST BANTAR GEBANG PANGKALAN 5 (IPAS 3),BEKASI    , ,22FN12A06XXX,4.50 ,4.50 ,4.00,,,,,,,,4.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM220400429,1,Y,12/10/2022,HERRU KUSTANTO,CU05016,PT. MEGA CITRA PRATAMA,DPMCP00004,BUKIT PODOMORO JL I GUSTI NGURAH RAI KLENDER,JAKARTA    , ,30PX10A06XXX,1000.00 ,167.50 ,14.00,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM221000183,1,Y,12/10/2022,HERI KUSWANTO,CU00190,PT. DUA PUTRA PERKASA PRATAMA,DPDPP00025,PT DUA PUTRA PERKASA KWS INDUSTRI CIPENDAWA JL BARU CIPENDAWA NO 88,KEL BOJONG MENTENG KEC RAWA LUMBU KOTA BEKASI    , ,35PX12A06XXX,120.00 ,120.00 ,120.00,,,,,,,,21.00,14.00,21.00,14.00,21.00,14.00,15.00,,,,,,,,,,,CPS,C0000A,,
SO02-IDM221000240,1,Y,12/10/2022,FERDY WIDASMARA,CU05415,PT. FIBEART TRANS NETWORK,DPFTN00006,KANTOR IMIGRASI JL PERJUANGAN BEKASI UTARA,KOTA BEKASI    , ,30FU12A06XXX,100.00 ,100.00 ,7.00,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
