S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700180,1,Y,15/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,200.00 ,7.0,,,7.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700181,1,Y,15/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,50.00 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700158,1,Y,15/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,60.00 ,10.0,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400123,1,Y,15/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,595.90 ,35.0,,,,,,7.00,,14.00,,14.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,15/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,319.50 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,15/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,706.00 ,52.0,,,6.00,6.00,6.00,6.00,,,14.00,,14.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700123,1,Y,15/07/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00041,"CV CIBALAGUNG INDAH PERSADA. PT RUSLI VINILON SAKTI JL NAROGONG KM 15,5",KAB BOGOR    , ,30PX12A06XXX,290.00 ,70.0,,,,14.00,14.00,14.00,14.00,14.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400003,1,Y,15/07/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,14.50 ,14.0,,,,,14.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210700135,1,Y,15/07/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,93.00 ,84.0,,,,,,21.00,21.00,21.00,21.00,,,,,,,,,,,,,,,,CPS,C3000C,,,
SO03-IDM210700189,1,Y,15/07/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,50.00 ,21.0,,,,,,,,,,21.00,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO02-IDM210700094,1,Y,15/07/2021,DEDE JUNAEDI,CU02650,PT DEFICYSIGAR PRATAMA,DPDSP00004,RUSUN TUNAWISMA KEMENTERIAN SOSIAL (RUSUNDKI21-01),JL MINI III KEL BAMBU APUS KEC CIPAYUNG JAKARTA TIMUR    , ,25MX12A06RST,11.00 ,11.0,,,11.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210700158,1,Y,15/07/2021,DEDE JUNAEDI,CU02650,PT DEFICYSIGAR PRATAMA,DPDSP00004,RUSUN TUNAWISMA KEMENTERIAN SOSIAL (RUSUNDKI21-01),JL MINI III KEL BAMBU APUS KEC CIPAYUNG JAKARTA TIMUR    , ,25MX12A06RST,50.00 ,14.0,,,14.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210200196,1,Y,15/07/2021,DEDE JUNAEDI,CU01255,PT STRUCTURAL PRECAST CONCRETE INDONESIA,DPSPC00024,PEMBANGUNAN JEMBATAN METLAND UJUNG,MENTENG    , ,LCFU12A06XXX,81.50 ,6.0,,,,6.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210700179,1,Y,15/07/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00238,LOCO. MANDOR DEMONG PERUM GRIYA MITRA MUSTIKA BLOK D NO 5,BEKASI    , ,25PX12A06XXX,6.00 ,6.0,,6.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
