S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600416,1,Y,06/07/2021,06/07/2021,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,43.00 ,14.0,,,,7.00,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210600319,1,Y,06/07/2021,DEDE JUNAEDI,CU04503,PT. CITRA BUANA KREASI PRATAMA,DPCBK00007,JL CIKIWUL NO 4 BANTAR GEBANG,BEKASI JAWA BARAT    , ,30FD14A06XXX,37.79 ,5.0,,5.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700036,1,Y,06/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,50.00 ,10.0,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,06/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,628.50 ,21.0,,,,,21.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,06/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,1502.00 ,49.0,,,,14.00,,,14.00,,,21.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210300182,1,Y,06/07/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00011,APARTEMENT MEGA CITY BEKASI,JL AHMAD YANI   NO 1 BEKASI JAWA BARAT    , ,30MI14A06MBA,37.00 ,12.0,,7.00,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM200900039,1,Y,06/07/2021,FERDY WIDASMARA,CU00337,PT TATAMULIA NUSANTARA INDAH,DPTNI00039,SOUTH SIDE APARTEMENT,DEPOK    , ,LCFV12A06R1G,328.50 ,5.0,,5.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210600287,1,Y,06/07/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00012,WORKSHOP WKC,JATIASIH BEKASI    , ,25MX12A06XXX,108.00 ,14.0,,,,,,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO08-IDM210700003,1,Y,06/07/2021,FERDY WIDASMARA,CU04674,PT. PILAR CADAS PUTRA,DPPCP00008,KANTOR PELAYANAN PAJAK PRATAMA BEKASI JL SERSAN ASWAN NO 407,KEC BEKASI TIMUR    , ,22PX12A06XXX,6.00 ,3.0,,,3.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO08-IDM210700004,1,Y,06/07/2021,FERDY WIDASMARA,CU04674,PT. PILAR CADAS PUTRA,DPPCP00008,KANTOR PELAYANAN PAJAK PRATAMA BEKASI JL SERSAN ASWAN NO 407,KEC BEKASI TIMUR    , ,30PX12A06XXX,6.00 ,3.0,,,,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210700059,1,Y,06/07/2021,DEDE JUNAEDI,CT01244,BP HAIRUL BASAR SKOM (NIK 3175081512730003),DRHRB00030,BP DOAN SYAHREZA. VIDA BEKASI CLUSTER DURIAN,BEKASI    , ,25FI12A06XXX,12.00 ,12.0,,,12.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
