S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210600051,1,Y,25/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1207.00 ,14.0,7.00,7.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210300364,1,Y,25/06/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00011,APARTEMENT MEGA CITY BEKASI,JL AHMAD YANI   NO 1 BEKASI JAWA BARAT    , ,35MI14A06MBX,33.50 ,5.0,,,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600364,1,Y,25/06/2021,FERDY WIDASMARA,CU04292,PT. TIGA PUTRA PERKASA SEJAHTERA,DPTPP00005,PT. TIGA PUTRA PERKASA SEJAHTERA. PROYEK PERUMAHAN GOLDEN CITY,BEKASI    , ,22FI12A06XXX,5.00 ,5.0,,,,5.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM200900039,1,Y,25/06/2021,FERDY WIDASMARA,CU00337,PT TATAMULIA NUSANTARA INDAH,DPTNI00039,SOUTH SIDE APARTEMENT,DEPOK    , ,LCFV12A06R1G,338.50 ,5.0,,,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,
SO03-IDM210600254,1,Y,25/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,55.00 ,10.0,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400123,1,Y,25/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,719.40 ,7.0,,,,,,,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400124,1,Y,25/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1273.50 ,21.0,,,,,,21.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,25/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,2295.00 ,42.0,,,,,21.00,,,21.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600304,1,Y,25/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00023,CV CIBALAGUNG INDAH PERSADA PROYEK PENGECORAN GUDANG BLOK 24-31 PT RUSLI VILON,SAKTI PANGKALAN 6 BEKASI    , ,30PX12A06XXX,196.00 ,14.0,,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
