S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210400280,1,Y,12/06/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,321.00 ,80.0,,,21.00,21.00,21.00,17.00,,,,,,,,,,,,,,,,,,,CPS,C3000D,,
SO03-IDM210400123,1,Y,12/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,813.90 ,7.0,,,,,,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,12/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,3366.50 ,40.0,,,,,,10.00,,,10.00,,10.00,,,10.00,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600100,1,Y,12/06/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00020,JL PANGKALAN 1A NO 62 RT 001 RW 006 BANTARGEBANG,KOTA BEKASI JAWA BARAT    , ,30PX12A06XXX,45.00 ,5.0,,,,,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210500118,1,Y,12/06/2021,DEDE JUNAEDI,CU03118,PT MENARA PONDASI UTAMA,DPMPU00012,REVO TOWN JL A YANI KAV 1 PEKAYON,KOTA BEKASI    , ,30MX18A06GAP,17.50 ,8.5,,8.50,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600063,1,Y,12/06/2021,DEDE JUNAEDI,CU01209,PT. KORSA PERSADA ASIA,DDKPA00008,GREENWOOD RESIDENCE JL PERJUANGAN PERUM WISMA ASRI BLOK N KAVLING NO 1-4,KEL TELUK PUCUNG KEC BEKASI UTARA    , ,25PX12A06XXX,294.00 ,70.0,,,,,,,,,,,,,21.00,21.00,21.00,7.00,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600004,1,Y,12/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,25.00 ,5.0,,5.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600133,1,Y,12/06/2021,FERDY WIDASMARA,CU00591,CV DAFA ALIET MIX,DPDAF01246,JAMAL. JL SUCI 73-67 RT 3 RW 6 SUSUKAN CIRACAS,JAKARTA TIMUR    , ,LCFU12A06XXX,14.00 ,14.0,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000A,,
