S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R28CMP - Plant Cempaka Putih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM190200079,1,Y,26/03/2019,HERLEN DHARMA PUTRA,CU02655,PT CEMPAKA SINERGY REALTY,DPCSR00003,ARANDRA RESIDENCE 2,JL CEMPAKA PUTIH RAYA NO 1 RT 01 RW 06 CEMPAKA PUTIH JKAARTA PUSAT    , ,45MD12A06ARP,538.50 ,7.00,,,,,,,,,,,,,,,,,,,,,7.00,,,,MANUAL,C3000D,,
SO03-IDM190200316,1,Y,26/03/2019,HERLEN DHARMA PUTRA,CU02655,PT CEMPAKA SINERGY REALTY,DPCSR00002,ARANDRA RESIDENCE APARTMENT,JL CEMPAKA PUTIH RAYA NO 1 RT 01 RW 06 CEMPAKA PUTIH JKAARTA PUSAT    , ,30MD12A06ARP,574.50 ,7.00,,,,,,,,,,,,,,,,,,,,,7.00,,,,MANUAL,C3000D,,
SO03-IDM190300152,1,Y,26/03/2019,HERLEN DHARMA PUTRA,CU02655,PT CEMPAKA SINERGY REALTY,DPCSR00002,ARANDRA RESIDENCE APARTMENT,JL CEMPAKA PUTIH RAYA NO 1 RT 01 RW 06 CEMPAKA PUTIH JKAARTA PUSAT    , ,35MD12A06ARP,514.50 ,7.00,,,,,,,,,,,,,,,,,,,,,,7.00,,,MANUAL,C3000D,,
SO03-IDM190300153,1,Y,26/03/2019,HERLEN DHARMA PUTRA,CU02655,PT CEMPAKA SINERGY REALTY,DPCSR00002,ARANDRA RESIDENCE APARTMENT,JL CEMPAKA PUTIH RAYA NO 1 RT 01 RW 06 CEMPAKA PUTIH JKAARTA PUSAT    , ,LCFI12C06XXX,300.00 ,7.00,,,,,,,,,,,,,,,,,,,,,,,7.00,,MANUAL,C3000D,,
SO03-IDM190300154,1,Y,26/03/2019,HERLEN DHARMA PUTRA,CU02655,PT CEMPAKA SINERGY REALTY,DPCSR00002,ARANDRA RESIDENCE APARTMENT,JL CEMPAKA PUTIH RAYA NO 1 RT 01 RW 06 CEMPAKA PUTIH JKAARTA PUSAT    , ,LCFI12A06XXX,200.00 ,7.00,,,,,,,,,,,,,,,,,,,,,,7.00,,,MANUAL,C3000D,,
SO02-IDM190300051,1,Y,26/03/2019,GUSWILDAN GIOVANI,CU02770,PT ANUGRAH KARYA BANGSA,DPAKB00002,ALOFT HOTEL. JL TB SIMATUPANG RAYA NO. 8-9 PERAPATAN LAMPU MERAH,ANTARA JL AMPERA UJUNG (SEBERANG TRAKINDO) JAKARTA SELATAN    , ,42FU12A06XXX,55.00 ,55.00,,,,,,,,,21.00,21.00,13.00,,,,,,,,,,,,,,CPS,C0000E,,
SO02-IDM190300102,1,Y,26/03/2019,GUSWILDAN GIOVANI,CU02770,PT ANUGRAH KARYA BANGSA,DPAKB00002,ALOFT HOTEL. JL TB SIMATUPANG RAYA NO. 8-9 PERAPATAN LAMPU MERAH,ANTARA JL AMPERA UJUNG (SEBERANG TRAKINDO) JAKARTA SELATAN    , ,42FU12A06XXX,9.00 ,9.00,,,,,,,,,,,9.00,,,,,,,,,,,,,,CPS,C0000E,,
