S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600416,1,Y,02/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,50.00 ,14.0,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210400124,1,Y,02/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,844.00 ,21.0,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,02/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,1857.50 ,35.0,,,7.00,7.00,,7.00,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600254,1,Y,02/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,20.00 ,10.0,,,,,,,7.00,3.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600370,1,Y,02/07/2021,DEDE JUNAEDI,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00250,CITRALAND12. CLUSTER MONTEVERDE C2 NO 5 JONGGOL,JONGGOL    , ,22FI12A06XXX,40.00 ,21.0,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000C,,
SO03-IDM210400003,1,Y,02/07/2021,FERDY WIDASMARA,CU00898,PT MAJUMAPAN BANGUNINDO,DPMMB00009,"HOTEL DIARA - CILEUNGSI. JL KOTA TAMAN METROPOLITAN CILEUNGSI KIDUL, BOGOR",DEPAN SMK METLAND    , ,35FI12A06GAP,106.50 ,60.0,,,,,,21.00,21.00,18.00,,,,,,,,,,,,,,,,,CPS,C3000C,,
SO02-IDM210600451,1,Y,02/07/2021,DEDE JUNAEDI,CU02276,PT KHARISMA ARUM ABADI,DRKAA00011,AUCKLAND PERUMAHAN METLAND TRANSYOGI,METLAND TRANSYOGI    , ,22FI12A06XXX,12.00 ,12.0,,,,,12.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210200192,1,Y,02/07/2021,DEDE JUNAEDI,CU04547,PT. ADIRA KREASI INDONESIA,DPAKI00005,CLUSTER O2 GRAND WISATA LAMBANGSARI KEC. TAMBUN SELATAN,BEKASI JAWA BARAT 17510    , ,22FI12A06XXX,62.00 ,7.0,,7.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210600292,1,Y,02/07/2021,DEDE JUNAEDI,CU04324,PT. KUSUMA KARYA ABADI,DPKKA00004,GEREJA TIBERIAS BEKASI TOWN SQUARE,BEKASI JAWA BARAT    , ,35PX12A06XXX,100.00 ,101.0,,,,,,,,,,,,,21.00,21.00,21.00,21.00,17.00,,,,,,,,CPS,C6000D,,
