S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210200192,1,Y,05/06/2021,DEDE JUNAEDI,CU04547,PT. ADIRA KREASI INDONESIA,DPAKI00005,CLUSTER O2 GRAND WISATA LAMBANGSARI KEC. TAMBUN SELATAN,BEKASI JAWA BARAT 17510    , ,22FI12A06XXX,166.00 ,25.0,,,21.00,4.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210400123,1,Y,05/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,837.90 ,7.0,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400126,1,Y,05/06/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,3544.00 ,50.0,,,,10.00,,10.00,,10.00,,,10.00,,,10.00,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210300364,1,Y,05/06/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00011,APARTEMENT MEGA CITY BEKASI,JL AHMAD YANI   NO 1 BEKASI JAWA BARAT    , ,35MI14A06MBX,107.50 ,15.0,,7.00,8.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210400280,1,Y,05/06/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,429.00 ,4.0,,,,4.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600004,1,Y,05/06/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,55.00 ,5.0,,5.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210400092,1,Y,05/06/2021,DEDE JUNAEDI,CU04582,PT. TOTAL TANJUNG INDAH,DPTTI00004,MABES TNI CILANGKAP,CILANGKAP    , ,35PX12A06XXX,4.00 ,4.0,,4.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210400156,1,Y,05/06/2021,DEDE JUNAEDI,CU04582,PT. TOTAL TANJUNG INDAH,DPTTI00004,MABES TNI CILANGKAP,CILANGKAP    , ,35PX12A06XXX,11.00 ,7.0,,7.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
