S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO21-IDM230300015,1,Y,12/04/2023,FERDY WIDASMARA,CU00234,PT KARYA PALMALINDO ANUGERAH,DPKPA00051,DEPARTEMENT BRS BEKASI RAYA CS 2023,BEKASI    , ,VIPER08,1650.00 ,1455.60 ,36.00,,,,,,,,,,,,,,,,,,,,,,12.00,12.00,12.00,MANUAL,C3000D,,,
SO21-IDM230300016,1,Y,12/04/2023,FERDY WIDASMARA,CU00234,PT KARYA PALMALINDO ANUGERAH,DPKPA00051,DEPARTEMENT BRS BEKASI RAYA CS 2023,BEKASI    , ,VCTB,1300.00 ,1134.50 ,18.00,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,,,,MANUAL,C3000D,,,
SO03-IDM230300001,1,Y,12/04/2023,HERI KUSWANTO,CU05614,PT. PRIMUS SANUS COOKING OIL INDUSTRIAL (PT. PRISCOLIN),DPPSC00004,1012005359. JL PONDOK UNGU PEJUANG MEDANSATRIA KOTA BEKASI,JAWA BARAT    , ,25PX12A06XXX,21.00 ,11.00 ,6.00,,,,,,,,6.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM230400107,1,Y,12/04/2023,HERI KUSWANTO,CU05659,PT. TRIADI CASA RECTA,DPTCR00003,LAPALMA GRANDE - CIJENGKOL JL LETJEN R SUPRAPTO NO 12 CIJENGKOL KEC SETU,KAB BEKASI    , ,25PX12A06XXX,40.00 ,7.00 ,7.00,,,,,,,,,7.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230400051,1,Y,12/04/2023,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,45.00 ,20.00,,,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,,MANUAL,C4500D,,,
SO02-IDM230400081,1,Y,12/04/2023,HERI KUSWANTO,CU05456,PT. KINDO DWI PERSADA,DPKWA00002,JL PEMUDA NO 52 KRANJI,BEKASI    , ,30FV12A06XXX,159.30 ,154.80 ,20.00,,,,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230400106,1,Y,12/04/2023,FERDY WIDASMARA,CU02347,PT ADDEL CIPTA GRAHA,DPACG00065,PEMBANGUNAN 2 UNIT RUMAH CONTOH TIPE VERANDA (245/192) DI BLOK AA BOULEVARD,NO 9 & 11 DI PERUMAHAN CITRAGRAN CIBUBUR    , ,22FI12A06XXX,51.00 ,51.00 ,51.00,,,,,,,,14.00,14.00,14.00,9.00,,,,,,,,,,,,,,CPS,C3000D,,,
SO02-IDM230400175,1,Y,12/04/2023,FERDY WIDASMARA,CU01217,PT. LESINDO JAYA UTAMA,DPLJU00003,NUANSA CILANGKAP JL RAYA CILANGKAP RT 12 RW 01 CILANGKAP CIPAYUNG,JAKARTA TIMUR    , ,35MU12A06XXX,14.00 ,14.00 ,14.00,,,,,,,,,,,,,,,7.00,7.00,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230300098,1,Y,12/04/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,22FI12A06XXX,100.00 ,43.00 ,7.00,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO02-IDM230300443,1,Y,12/04/2023,FERDY WIDASMARA,CU05219,PT. JAYA KARYA SEMESTA,DPJKS00029,PERUMAHAN METLAND TRANSYOGI CLUSTER SAMARA,CIBUBUR    , ,22FV12A06XXX,45.00 ,5.00 ,5.00,,,,,,,,,5.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230400183,1,Y,12/04/2023,FERDY WIDASMARA,CU05219,PT. JAYA KARYA SEMESTA,DPJKS00029,PERUMAHAN METLAND TRANSYOGI CLUSTER SAMARA,CIBUBUR    , ,22FV12A06XXX,27.00 ,27.00 ,27.00,,,,,,,,,,,,7.00,7.00,7.00,6.00,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230400101,1,Y,12/04/2023,DEDE JUNAEDI,CU01176,PT STAR NUSA PRIMA,DPSNP00009,KP BOJONG KEC KLAPANUNGGAL CILEUNGSI,CILEUNGSI    , ,35FI12A06XXX,40.00 ,40.00 ,20.00,,,,,,,,,,14.00,6.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM230400112,1,Y,12/04/2023,DEDE JUNAEDI,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00012,CBD CIBUBUR,CIBUBUR    , ,22FI12A06XXX,3.00 ,3.00 ,3.00,,,,,,,,,,3.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM230400179,1,Y,12/04/2023,DEDE JUNAEDI,CT05918,BP YAYAT SUDRAJAT (NIK 3201070302770008),DRYYD00003,GEDUNG SERBAGUNA GKI HANKAM,BEKASI    , ,35FV12A06XXX,16.00 ,16.00 ,16.00,,,,,,,,7.00,7.00,2.00,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230400141,1,Y,12/04/2023,HERI KUSWANTO,CU05605,PT. ERZED SUKSES ANUGERAH,DPESA00002,MASJID IZZATUL ISLAM GRAND WISATA TAMBUN,BEKASI    , ,30FI12A06XXX,6.00 ,3.00 ,2.00,,,,,,,,2.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230300037,1,Y,12/04/2023,HERI KUSWANTO,CU00145,PT ANUGRAH RAYNI SENTOSA,DPARS00079,TERA DAMAI.23.01-PROYEK TERA DAMAI CLUSTER DANISHA SRIAMUR,BEKASI UTARA    , ,LCFV12A06XXX,220.00 ,66.00 ,14.00,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,MANUAL,C3000C,,,
