S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R32TGD - Plant Tegal Danas - Cikarang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM181100058,1,Y,07/11/2018,GUSWILDAN GIOVANI,CU00988,PT KHARISMA MULIA MANDIRI,DPKHM00012,CIFEST HILL RUKO LA FENZA,VILLA MUTIARA CIKARANG    , ,22FI12A11XXX,5 ,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM181100014,1,Y,07/11/2018,ANIK JOHARI,CU00270,CV MULTI TEKNIK NUSANTARA,DPMTN00262,LANJUTAN PENINGKATAN JALAN RAWA LELE,CIKARANG JATI PAKET 2-5    , ,LCFU12A11XXX,70 ,35.0,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,MANUAL,C3000C,,
SO03-IDM181100015,1,Y,07/11/2018,ANIK JOHARI,CU00270,CV MULTI TEKNIK NUSANTARA,DPMTN00262,LANJUTAN PENINGKATAN JALAN RAWA LELE,CIKARANG JATI PAKET 2-5    , ,35FU12A11XXX,560 ,35.0,,,,,,,,,,,,,,,,,,,,,14.0,14.0,7.0,,MANUAL,C3000C,,
SO03-IDM181000457,1,Y,07/11/2018,ANIK JOHARI,CU00270,CV MULTI TEKNIK NUSANTARA,DPMTN00261,LANJUTAN PENINGKATAN JALAN JARAKOSTA - KOBAK RANTE PAKET 10,BANTAR SARI PEBAYURAN    , ,35PX12A11XXX,413 ,35.0,,,,,,,,,,,,,,,,,,,,,,7.0,14.0,14.0,MANUAL,C3000C,,
SO03-IDM181000383,1,Y,07/11/2018,HAMZAH IWAT,CU01484,PT SARANA BETON UTAMA,DPSBU00012,PRECAST,JL CEMPAKA 1 F16 NO 30    , ,35PX12A11XXX,15 ,7.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM181000589,1,Y,07/11/2018,HAMZAH IWAT,CU01484,PT SARANA BETON UTAMA,DPSBU00005,JL AGATIS BLOK F9 NO 15B DELTA SILIKON 3 DESA CICAU,LIPPO CIKARANG    , ,22PX12A11XXX,30 ,7.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM181100106,1,Y,07/11/2018,HAMZAH IWAT,CU00602,CV BUANA KARYA MAKMUR,DPBKM00258,PENINGKATAN JALAN PATOBOR JARAKOSTA PAKET 8,KEC KARANG BAHAGIA    , ,35PX12A11XXX,165 ,126.0,,,,,,,,,,,,,,,21.0,21.0,21.0,21.0,21.0,21.0,,,,,MANUAL,C3000D,,
