S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700262,1,Y,24/07/2021,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00036,REKON GT PASAR REBO,GT PASAR REBO    , ,VCTB,143.00 ,14.0,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700180,1,Y,24/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,200.00 ,14.0,,,,,,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700181,1,Y,24/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,50.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400123,1,Y,24/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,542.90 ,7.0,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,24/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,81.00 ,21.0,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700254,1,Y,24/07/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,4241.50 ,55.0,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700158,1,Y,24/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,15.00 ,10.0,,,,,,7.00,3.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700095,1,Y,24/07/2021,FERDY WIDASMARA,CU00742,PT CAHAYA NUSA PERKASA,DPCUP00033,"KOTA WISATA MIAMI BLOK SL6, SL7",CIBUBUR    , ,22FI12A06XXX,140.00 ,10.0,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700312,1,Y,24/07/2021,DEDE JUNAEDI,CU02492,PT BANGUN KREASI ESTIKA,DPBKE00030,PERUMAHAN METLAND TRANSYOGI CLUSTER AUCKLAND BLOK TJ 3A/29 JL RAYA CILEUNGSI,SETU SERANG KM2 CILEUNGSI BOGOR 16820    , ,22FI12A06XXX,5.00 ,5.0,,,,5.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700295,1,Y,24/07/2021,DEDE JUNAEDI,CU00153,PT BANGUN MENARA ABADI,DPBMA00070,KW29. KOTA WISATA CLUSTER MIAMI BLOK SL2/9,CIBUBUR    , ,22FI12A06XXX,70.00 ,70.0,,21.00,21.00,21.00,7.00,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO02-IDM210700300,1,Y,24/07/2021,FERDY WIDASMARA,CU04632,PT. LARIS TRIO BERSAUDARA,DPLTB00002,PEMBANGUNAN RUSUN JAWA BARAT 5 KOMP. DEPSOS RT 002 RW 021 MARGAHAYU,KEC. BEKASI TIMUR KOTA BEKASI JAWA BARAT 17113    , ,30PX12A06RDB,186.00 ,105.0,,,,,,,,,,21.00,21.00,21.00,21.00,21.00,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210700216,1,Y,24/07/2021,DEDE JUNAEDI,CU01255,PT STRUCTURAL PRECAST CONCRETE INDONESIA,DPSPC00024,PEMBANGUNAN JEMBATAN METLAND UJUNG,MENTENG    , ,35FI12A06XXX,100.00 ,16.0,,,,,7.00,7.00,2.00,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210700276,1,Y,24/07/2021,DEDE JUNAEDI,CU02650,PT DEFICYSIGAR PRATAMA,DPDSP00004,RUSUN TUNAWISMA KEMENTERIAN SOSIAL (RUSUNDKI21-01),JL MINI III KEL BAMBU APUS KEC CIPAYUNG JAKARTA TIMUR    , ,25MX12A06RST,40.00 ,4.0,,,,,4.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210700298,1,Y,24/07/2021,DEDE JUNAEDI,CU04538,CV. ALHADI BERKAH SUKSES,DPAHS00046,BP FAHRIZAL PERUMAHAN MUSTIKA MEDIA RESIDENCE JL DELIMA 5 LUBANG BUAYA,KEC SETU BEKASI JAWA BARAT    , ,22PX12A06XXX,13.00 ,13.0,,,7.00,6.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
