S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700163,1,Y,14/07/2021,DEDE JUNAEDI,CU01012,PT REKACIPTA BANGUN PRATAMA,DPRBP00047,GG-15. GRAND GALAXY JL LOTUS UTARA 2 BLOK D5 NO 25,PEKAYON    , ,22FI12A06XXX,120.00 ,90.0,,,21.00,21.00,21.00,21.00,6.00,,,,,,,,,,,,,,,,,,CPS,C3000C,,,
SO03-IDM210700169,1,Y,14/07/2021,DEDE JUNAEDI,CU02492,PT BANGUN KREASI ESTIKA,DPBKE00030,PERUMAHAN METLAND TRANSYOGI CLUSTER AUCKLAND BLOK TJ 3A/29 JL RAYA CILEUNGSI,SETU SERANG KM2 CILEUNGSI BOGOR 16820    , ,22FI12A06XXX,5.00 ,5.0,,,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700158,1,Y,14/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,60.00 ,12.0,,,,,,,7.00,5.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400123,1,Y,14/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,611.40 ,7.0,,7.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,14/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,319.50 ,42.0,,,,,,,,,21.00,21.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,14/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,706.00 ,49.0,,,,,14.00,,14.00,,,7.00,,14.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700152,1,Y,14/07/2021,FERDY WIDASMARA,CU04632,PT. LARIS TRIO BERSAUDARA,DPLTB00002,PEMBANGUNAN RUSUN JAWA BARAT 5 KOMP. DEPSOS RT 002 RW 021 MARGAHAYU,KEC. BEKASI TIMUR KOTA BEKASI JAWA BARAT 17113    , ,30PX12A06RDB,27.00 ,13.0,,13.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
