S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600342,1,Y,05/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,94.00 ,10.0,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210500093,1,Y,05/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,375.00 ,14.0,,,,,,7.00,7.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600348,1,Y,05/07/2021,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00010,PROYEK SUMMARECON BOGOR PEKERJAAN SALURAN V-DITCH ROW-20,BOGOR    , ,27FD12A06XXX,14.00 ,5.0,,,,5.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700027,1,Y,05/07/2021,ANDRY CHRISTIANTO,CU04432,PT ALHADI BERKAH SUKSES,DPABS00050,PT KREASINDO GRAHA UTAMA. VILLA PAK SINGKE BARU SIREM JL TAMAN SAFARI,DESA CIBEUREM CISARUA    , ,22FI12A06R1X,5.00 ,5.0,,,5.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210500092,1,Y,05/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,688.00 ,63.0,,,,,21.00,21.00,21.00,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600176,1,Y,05/07/2021,LUDI PURNAMA,CU04650,PT. CIPTA DIAMOND PROPERTY,DPCDP00002,GUCII I JL RAYA BOGOR KM 39,JL RAYA BOGOR    , ,30MI16A06XXX,7.00 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600356,1,Y,05/07/2021,LUDI PURNAMA,CU04650,PT. CIPTA DIAMOND PROPERTY,DPCDP00002,GUCII I JL RAYA BOGOR KM 39,JL RAYA BOGOR    , ,30MI16A06XXX,40.00 ,8.0,,,,,8.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600342,1,Y,04/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,94.00 ,10.0,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,,,
SO03-IDM210500092,1,Y,04/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,688.00 ,63.0,,,,,,,21.00,21.00,21.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210500093,1,Y,04/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,375.00 ,14.0,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210100140,1,Y,04/07/2021,LUDI PURNAMA,CU04147,PT HK REALTINDO,DPHKR00002,H RESIDENCE SENTUL JL OLYMPIC RAYA KAV 8 BABAKAN MADANG,BOGOR    , ,35FD12A06XXX,1257.50 ,14.0,,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,,,
SO03-IDM210600056,1,Y,04/07/2021,LUDI PURNAMA,CU04202,PT ADHI PERSADA BETON,DPAPB00006,PRECAST LRT SENTUL BOGOR JL RAYA BABAKAN MADANG DESA KADUMANGU,KEC BABAKAN MADANG    , ,30PX12A06GAP,28.50 ,28.5,,,7.00,7.00,7.00,7.00,0.50,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
