S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220100303,1,Y,05/02/2022,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,906.00 ,785.50 ,6.00,,,,,,,,,,,,,,,,6.00,,,,,,,,,MANUAL,C3000D,,
SO03-IDM211200471,1,Y,05/02/2022,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX18A06P3R,1050.00 ,425.50 ,6.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,MANUAL,C3000D,,
SO02-IDM220200014,1,Y,05/02/2022,LUDI PURNAMA,CU03182,PT ELINDRA PRIMA PERKASA,DPEPP00009,BUKIT TIRTA GEULIS SUMMARECON BOGOR,BOGOR    , ,25PX12A06XXX,6.00 ,6.00 ,6.00,,,,,,,,,,6.00,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220100507,1,Y,05/02/2022,LUDI PURNAMA,CU02370,PT WASTUDIPTA ADHI GRAHA,DPWAG00005,"PERUMAHAN BUKIT SAKINAH. JL RAYA KARACAK KM 2,5",DS BARENGKOK LEUWILIANG    , ,22FI12A06XXX,66.00 ,48.00 ,18.00,,,,,,,,,,6.00,6.00,6.00,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220100507,1,Y,05/02/2022,LUDI PURNAMA,CU02370,PT WASTUDIPTA ADHI GRAHA,DPWAG00005,"PERUMAHAN BUKIT SAKINAH. JL RAYA KARACAK KM 2,5",DS BARENGKOK LEUWILIANG    , ,22FI12A06XXX,66.00 ,48.00 ,36.00,,,,,,,,,,6.00,6.00,6.00,6.00,6.00,6.00,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220200048,1,Y,05/02/2022,LUDI PURNAMA,CU04427,PT. KARYA ESKA SEJAHTERA,DPKES00006,PROYEK RUMAH TINGGAL DI CLUSTER MARGATA CIMANGGIS GOLF ESTATE,DEPOK    , ,25FI12A06XXX,12.00 ,12.00 ,12.00,,,,,,,,,,,,6.00,6.00,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220100165,1,Y,05/02/2022,LUDI PURNAMA,CU04927,PT. MIRTADA SEJAHTERA,DPMTS00002,HOTEL SAYAGA WISATA BOGOR JL TEGAR BERIMAN KEL TENGAH,KEC CIBINONG    , ,35PX12A06GAP,500.00 ,262.00 ,96.00,,,,,,,,,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220200055,1,Y,05/02/2022,LUDI PURNAMA,CT05227,BP FURKON RAMDANI (NIK 3201051808780002),DRFRA00006,PT REZEKI PUTRA PUTRI ELIMAN. JL INDUSTRI SENTUL KAV Q DESA BABAKAN MADANG,BOGOR    , ,35FI12A06XXX,9.00 ,9.00 ,6.00,,,,,,,,,6.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
