S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900323,1,Y,17/09/2022,DEDE JUNAEDI,CT01873,BP HERI KUSUMA (NIK 3271040704810022),DRHRK00314,LOCO. COR RUMAH BP IWAN JL CILENDEK INDAH UTAMA NO 30,KOTA BOGOR    , ,22FN12A06XXX,8.50 ,8.50 ,8.50,,,,,,,,6.00,2.50,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220900336,1,Y,17/09/2022,LUDI PURNAMA,CU02816,CV INDOBARU MANDIRI,DPIBM00198,BP AGUS BUDIANTO. COR RUMAH HUNI KP BALANDONGAN RT 02/03 CIHERANG,PONDOK CARINGIN    , ,25FN12A06XXX,9.50 ,9.50 ,9.50,,,,,,,,,9.50,,,,,,,,,,,,,,,,CPS,C0000E,,
SO02-IDM220900332,1,Y,17/09/2022,LUDI PURNAMA,CU04996,PT. HCS TRI DINAMIKA,DPHDN00002,PT INDOKRDSA TBK JL RAYA PAHLAWAN CITEUREUP,BOGOR    , ,30PX12A06XXX,14.00 ,14.00 ,14.00,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM220900042,1,Y,17/09/2022,LUDI PURNAMA,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00004,SENTUL SANCTUARY DESA CIJAYANTI BABAKAN MADANG SENTUL,KAB BOGOR    , ,22FI12A06XXX,100.00 ,52.00 ,50.00,,,,,,,,12.00,18.00,12.00,8.00,,,,,,,,,,,,,,MANUAL,C3000A,,
SO03-IDM220900166,1,Y,17/09/2022,LUDI PURNAMA,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00004,SENTUL SANCTUARY DESA CIJAYANTI BABAKAN MADANG SENTUL,KAB BOGOR    , ,22FI12A06XXX,100.00 ,100.00 ,100.00,,,,,,,,,,,12.00,18.00,12.00,18.00,12.00,18.00,10.00,,,,,,,,CPS,C3000A,,
SO02-IDM220900260,1,Y,17/09/2022,LUDI PURNAMA,CU05288,CV. DANUR JAYA,DPDAJ00002,PENINGKATAN JALAN SUKAKARYA - PASIR KALONG,KECAMATAN MEGAMENDUNG KABUPATEN BOGOR    , ,30MX10A06A7D,200.00 ,175.00 ,54.00,,,,,,,,,,,,,,,,,,,,18.00,18.00,18.00,,,MANUAL,C0000E,,
SO03-IDM220900081,1,Y,17/09/2022,LUDI PURNAMA,CU02937,PT. ADHI COMMUTER PROPERTI,DPACP00008,MARKETING GALLERY ADHI CITY SENTUL EXIT TOLL JAGORAWI KM 33 JL ANGGREK,DESA KADUMANGU KEC BABAKAN MADANG BOGOR JAWA BARAT 16810    , ,45RX07A06XXX,350.00 ,108.00 ,60.00,,,,,,,,,,,,,,,,12.00,12.00,12.00,12.00,12.00,,,,,MANUAL,C3000D,,
SO02-IDM220900159,1,Y,17/09/2022,DEDE JUNAEDI,CU01824,PT TRI ARTA ADIKARA,DPTAA00014,BP SYAEFUL. CV DELAPAN SAUDARA BOJONG - LINGGAR MUKTI CIBODAS,KEC KLAPANUNGGAL    , ,30MX10A06A7D,224.00 ,200.00 ,48.00,,,,,,,,,,,,12.00,12.00,12.00,12.00,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220900353,1,Y,17/09/2022,DEDE JUNAEDI,CU05240,PT. BAKTI MANDIRI GEMILANG,CUBMG00005,BP BAGUS. PENINGKATAN TROTOAR BMC DEPAN RS BMC BOGOR,KOTA BOGOR    , ,15MN12A06XXX,12.00 ,12.00 ,12.00,,,,,,,,6.00,,6.00,,,,,,,,,,,,,,,MANUAL,C0000E,,
