S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600342,1,Y,30/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,94.00 ,10.0,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600257,1,Y,30/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,60.00 ,10.0,,,,,7.00,3.00,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600051,1,Y,30/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,259.50 ,63.0,,,,,,,21.00,21.00,21.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600052,1,Y,30/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,39.63 ,7.0,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600323,1,Y,30/06/2021,LUDI PURNAMA,CU04520,PT. SINERGITAS BANGUN GRAHA,DPSBA00017,CIMANGGIS GOLF ESTATE TAPOS,DEPOK    , ,30FD12A06XXX,42.00 ,42.0,,21.00,21.00,,,,,,,,,,,,,,,,,,,,,,CPS,C3000D,,
SO02-IDM210600422,1,Y,30/06/2021,LUDI PURNAMA,CU03182,PT ELINDRA PRIMA PERKASA,DPEPP00007,SUMMARECON BOGOR,BOGOR    , ,25PX12A06XXX,12.00 ,6.0,,,,6.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600348,1,Y,30/06/2021,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00010,PROYEK SUMMARECON BOGOR PEKERJAAN SALURAN V-DITCH ROW-20,BOGOR    , ,27FD12A06XXX,19.00 ,10.0,,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
