S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210600051,1,Y,24/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1207.00 ,63.0,,,,,,21.0,21.0,21.0,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600052,1,Y,24/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,54.13 ,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600234,1,Y,24/06/2021,LUDI PURNAMA,CU01511,PT BANGUN TIRTA SARANA,DPBTS00015,KR BOGOR R6 SUMMARECON BOGOR,BOGOR    , ,30PX12A06XXX,9.00 ,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210300277,1,Y,24/06/2021,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00010,PROYEK SUMMARECON BOGOR PEKERJAAN SALURAN V-DITCH ROW-20,BOGOR    , ,27FD12A06XXX,9.00 ,7.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600342,1,Y,24/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,146.00 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600257,1,Y,24/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,100.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600123,1,Y,24/06/2021,LUDI PURNAMA,CU04212,PT TRADA STETIKA,DPTRS00004,JL RAYA PARUNG BOGOR - KEMANG BOGOR,JAWA BARAT 16310    , ,35FI12A06XXX,6.00 ,6.0,,,6.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600227,1,Y,24/06/2021,LUDI PURNAMA,CU04212,PT TRADA STETIKA,DPTRS00004,JL RAYA PARUNG BOGOR - KEMANG BOGOR,JAWA BARAT 16310    , ,35FI12A06XXX,3.00 ,3.0,,,,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210500026,1,Y,24/06/2021,LUDI PURNAMA,CU00647,PT UTAMA TIGADIHARDJA,DPUTD00040,RUMAH CONTOH R6 SUMMARECON BOGOR - BOGOR SELATAN,CIBANON    , ,35PX12A06XXX,222.00 ,10.0,,,,,7.00,3.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600281,1,Y,24/06/2021,LUDI PURNAMA,CU04212,PT TRADA STETIKA,DPTRS00004,JL RAYA PARUNG BOGOR - KEMANG BOGOR,JAWA BARAT 16310    , ,35FI12A06XXX,24.00 ,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,
SO02-IDM210600214,1,Y,24/06/2021,ANDRY CHRISTIANTO,CT04403,BP YUSUF DJAMALUDDIN (NIK 3271041912930001),DRYDJ00004,SENTUL MAKARA,BOGOR    , ,30FI12A06XXX,6.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO03-IDM210100140,1,Y,24/06/2021,LUDI PURNAMA,CU04147,PT HK REALTINDO,DPHKR00002,H RESIDENCE SENTUL JL OLYMPIC RAYA KAV 8 BABAKAN MADANG,BOGOR    , ,35FD12A06XXX,1288.50 ,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,
