S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO21-IDM221200005,1,Y,14/12/2022,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00047,PROYEK RAMP G DAN H JL AL HIDAYAH NO 108 RT 7 RW 02 JATIRANGON JATISAMPURNA,KOTA BEKASI    , ,VIPER45-3D,1100.00 ,1072.00 ,50.00,,,,,,,,,,,,,,,, , , ,5.00,10.00,5.00,10.00,10.00,10.00,MANUAL,C9000D,,
SO21-IDM221200007,1,Y,14/12/2022,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00047,PROYEK RAMP G DAN H JL AL HIDAYAH NO 108 RT 7 RW 02 JATIRANGON JATISAMPURNA,KOTA BEKASI    , ,VCTB,1000.00 ,969.00 ,50.00,,,,,,,,,,,, ,10.00,20.00,20.00, , ,,,,,,,,MANUAL,C9000D,,
SO03-IDM221100125,1,Y,14/12/2022,DEDE JUNAEDI,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00014,OLIMPIC SENTUL,BOGOR    , ,22PX12A06XXX,103.00 ,22.50 ,4.00,,,,,,,,4.00,,,,,,,,,,,,,,,,,MANUAL,C3000A,,
SO02-IDM221200089,1,Y,14/12/2022,LUDI PURNAMA,CU05059,CV. ABDI MAHYRA KARYA,DPAMK00046,DESA PASIR ANGIN,BOGOR    , ,25FV12A06XXX,100.00 ,65.00 ,24.00,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,,MANUAL,C0000E,,
SO02-IDM221200296,1,Y,14/12/2022,LUDI PURNAMA,CU05059,CV. ABDI MAHYRA KARYA,DPAMK00041,DESA SUKARESMI KEC TAMANSARI,BOGOR    , ,25FI12A06XXX,50.00 ,50.00 ,24.00,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,,,,,,MANUAL,C0000E,,
SO02-IDM221200288,1,Y,14/12/2022,LUDI PURNAMA,CU05505,CV. BALLORA MUSTIKA JAYA,DPBMJ00004,PENGECORAN JALAN ARYAWIDURA TEGAL GUNDIL KEC BOGOR UTARA,KOTA BOGOR    , ,10MV10A06XXX,14.00 ,14.00 ,14.00,,,,,,,,,6.00,6.00,2.00,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM221200289,1,Y,14/12/2022,LUDI PURNAMA,CU05209,PT. PUTRA SUNDA MANDIRISEJAHTERA,DPPSA00008,PROYEK JEMBATAN SUNGAI CIJERE BLOK CUOL KP MALINGPING DESA SUKAHATI KEC CITEREUP,BOGOR    , ,40PX10A06XXX,36.00 ,36.00 ,36.00,,,,,,,,12.00,12.00,12.00,,,,,,,,,,,,,,,CPS,C3000D,,
SO03-IDM221200033,1,Y,14/12/2022,LUDI PURNAMA,CU01321,CV VANGGITA EKA JAYA,DPVEJ00184,CV AITAMI - JL LINGKUNGAN RW 10 KEL KALIBARU,KOTA DEPOK    , ,45RX12A06XXX,59.00 ,30.50 ,30.00,,,,,,,,,,6.00,12.00,,6.00,6.00,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM221200034,1,Y,14/12/2022,LUDI PURNAMA,CU01321,CV VANGGITA EKA JAYA,DPVEJ00184,CV AITAMI - JL LINGKUNGAN RW 10 KEL KALIBARU,KOTA DEPOK    , ,30PX12A06XXX,41.50 ,11.50 ,11.00,,,,,,,,,,6.00,5.00,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM221200292,1,Y,14/12/2022,DEDE JUNAEDI,CU04582,PT. TOTAL TANJUNG INDAH,DPTTI00011,LOCO. VILA MELANALDO JL PUNCAK CISARUA,BOGOR    , ,30FN12A06R1X,15.50 ,15.50 ,15.00,,,,,,,,12.00,3.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
