S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700357,1,Y,12/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,593.47 ,10.0,,,,,,,,,,,,7.00,3.00,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210700358,1,Y,12/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,311.36 ,10.0,,,,,,,,,,,,,,7.00,3.00,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210800034,1,Y,12/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1504.69 ,49.0,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,,MANUAL,C3000D,,
SO03-IDM210800110,1,Y,12/08/2021,LUDI PURNAMA,CU04212,PT TRADA STETIKA,DPTRS00004,JL RAYA PARUNG BOGOR - KEMANG BOGOR,JAWA BARAT 16310    , ,35FI12A06XXX,210.00 ,210.0,,,,,,,,,,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,,,,,,CPS,C3000D,,
SO02-IDM210800125,1,Y,12/08/2021,LUDI PURNAMA,CU02816,CV INDOBARU MANDIRI,DPIBM00103,BP JEREME. JL AZALEA CLUSTER RIVERVIEW NEAR SENTUL CITY BABAKAN MADANG,BOGOR JAWA BARAT    , ,22FI12A06XXX,25.00 ,25.0,,,,,,,,,,21.00,4.00,,,,,,,,,,,,,,CPS,C0000E,,
SO03-IDM210700357,1,Y,11/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,593.47 ,10.0,,,,,,,,,,,,7.00,3.00,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210700358,1,Y,11/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,311.36 ,10.0,,,,,,,,,,,,,,7.00,3.00,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210800034,1,Y,11/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1504.69 ,49.0,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,,MANUAL,C3000D,,
SO03-IDM210700424,1,Y,11/08/2021,ANDRY CHRISTIANTO,CU04684,PT. SETIA HANDA MANDIRI,DPSHM00013,RUMAH SAKIT AISYAH CIBINONG DEPAN INDOMARET,BOGOR    , ,30PX12A06XXX,38.00 ,21.0,,,,,,,,,14.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210800133,1,Y,11/08/2021,ANDRY CHRISTIANTO,CU04684,PT. SETIA HANDA MANDIRI,DPSHM00013,RUMAH SAKIT AISYAH CIBINONG DEPAN INDOMARET,BOGOR    , ,30PX12A06XXX,60.00 ,35.0,,,,,,,,,,14.00,14.00,7.00,,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210800126,1,Y,11/08/2021,LUDI PURNAMA,CU01781,PT PAGAR BATU LESTARI,DPPBL00004,PODOMORO GOLF VIEW,CIMANGGIS    , ,30FI08C06XXX,30.00 ,24.0,,,,,,,,,,6.00,6.00,6.00,6.00,,,,,,,,,,,,MANUAL,C4500D,,
