S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210600051,1,Y,28/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1207.00 ,63.0,,,,,,21.00,21.00,21.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600342,1,Y,28/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,146.00 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600257,1,Y,28/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,100.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600052,1,Y,28/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,54.13 ,7.0,,,,,,,,,7.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210600285,1,Y,28/06/2021,ANDRY CHRISTIANTO,CU04432,PT ALHADI BERKAH SUKSES,DPABS00050,PT KREASINDO GRAHA UTAMA. VILLA PAK SINGKE BARU SIREM JL TAMAN SAFARI,DESA CIBEUREM CISARUA    , ,22FI12A06R1X,20.00 ,20.0,,7.00,7.00,6.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600051,1,Y,27/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,400.00 ,63.0,,,,,,21.00,21.00,21.00,,,,,,,,,,,,27b,,,,,MANUAL,C3000D,,
SO02-IDM210600342,1,Y,27/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,146.00 ,10.0,,,,7.00,3.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210600257,1,Y,27/06/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,100.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210600052,1,Y,27/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,54.13 ,7.0,,,,,,,,,7.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
