S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210700047,1,Y,24/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,110.00 ,7.0,,,,,7.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700048,1,Y,24/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,17PX12A06R1X,38.00 ,7.0,,,,,,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700277,1,Y,24/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,100.00 ,14.0,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700087,1,Y,24/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1189.26 ,63.0,,,,,,,,21.00,21.00,21.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210500093,1,Y,24/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,385.00 ,7.0,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210700273,1,Y,24/07/2021,ANDRY CHRISTIANTO,CU00971,CV GIEN MUDA PRATAMA,DPGMP00361,PT YES MULIA PRATAMA PROYEK PEMB JALUR GANDA LINTAS BOGOR (JGCBO3),CIOMAS BOGOR    , ,35PX12A06XXX,30.00 ,30.0,,7.00,7.00,7.00,7.00,2.00,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700314,1,Y,24/07/2021,LUDI PURNAMA,CU00355,PT VICTORIA KARYA,DPVKA00014,CIMANGGIS GOLF ESTATE. JL EMERALD GOLF BOULEVARD KEC TAPOS DEPOK JAWA BARAT,EXIT TOL CIMANGGIS 3 (JL RAYA TAPOS)    , ,25FD12A06XXX,4.00 ,4.0,,,4.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
