S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220900274,1,Y,30/09/2022,LUDI PURNAMA,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00004,SENTUL SANCTUARY DESA CIJAYANTI BABAKAN MADANG SENTUL,KAB BOGOR    , ,22FI12A06XXX,25.00 ,25.00 ,24.00,,,,,,,,,,,,,,,,6.00,12.00,6.00,,,,,,,MANUAL,C3000A,,
SO03-IDM220900330,1,Y,30/09/2022,LUDI PURNAMA,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00004,SENTUL SANCTUARY DESA CIJAYANTI BABAKAN MADANG SENTUL,KAB BOGOR    , ,22FI12A06XXX,120.00 ,120.00 ,120.00,,,,,,,,18.00,12.00,18.00,12.00,18.00,12.00,18.00,12.00,,,,,,,,,,CPS,C3000A,,
SO02-IDM220900607,1,Y,30/09/2022,DEDE JUNAEDI,CU05277,CV. TERRADAYA PRATAMA,DPTRP00004,PENINGKATAN JALAN TEGAL PANJANG (LEMIGAS) DESA TUGU SELATAN,KEC CISARUA    , ,20MX10A06GAP,200.00 ,200.00 ,60.00,,,,,,,,,,,,,,,,,,,,12.00,12.00,12.00,12.00,12.00,MANUAL,C0000E,,
SO02-IDM220900640,1,Y,30/09/2022,LUDI PURNAMA,CT05227,BP FURKON RAMDANI (NIK 3201051808780002),DRFRA00022,BP SAPTO. ELECTRO STATIC FOLDER COATING JL SABILILAH NO 12 TARIKOLOT RT 01/01,CITEREUP BOGOR    , ,30FN12A06XXX,54.00 ,54.00 ,54.00,,,,,,,,,,,,,,,12.00,12.00,12.00,12.00,6.00,,,,,,MANUAL,C0000E,,
SO02-IDM220800206,1,Y,30/09/2022,LUDI PURNAMA,CU05285,CV. HASMIYATA GRAHA,DPHYG00002,PENINGKATAN JALAN CIPAYUNG - MEGAMENDUNG,KAB BOGOR    , ,10MX10A06BGR,129.00 ,80.00 ,36.00,,,,,,,,,,,,,,,,,,,12.00,12.00,12.00,,,,MANUAL,C0000E,,
SO08-IDM220900027,1,Y,30/09/2022,DEDE JUNAEDI,CU05379,CV. RAZAN BANGUN NUSANTARA,DPRBN00002,REHABILITASI EMBUNG AIR BAKU,KEC. JONGGOL KAB. BOGOR    , ,22PX12A06R1X,4.00 ,4.00 ,2.00,,,,,,,,2.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220900646,1,Y,30/09/2022,DEDE JUNAEDI,CU05240,PT. BAKTI MANDIRI GEMILANG,CUBMG00005,BP BAGUS. PENINGKATAN TROTOAR BMC DEPAN RS BMC BOGOR,KOTA BOGOR    , ,15MN12A06XXX,11.00 ,11.00 ,6.00,,,,,,,,,,6.00,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220900626,1,Y,30/09/2022,LUDI PURNAMA,CU05361,PT. PRIANGAN BANGUN NUSANTARA,DPPBN00066,PEMBANGUNAN JEMBATAN SITU NANGGERENG (JALUR LAMBAT ARAH KEMANG) PADA JALAN,BOJONG GEDE - KEMANG KECAMATAN TAJUR HALANG KAB BOGOR    , ,30MX12A06GAP,40.00 ,40.00 ,40.00,,,,,,,,12.00,18.00,10.00,,,,,,,,,,,,,,,CPS,C0000E,,
