S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210900242,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1207.90 ,35.0,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,MANUAL,C3000D,,
SO03-IDM210900241,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,112.00 ,10.0,,,,,,,,,,,,,,,,,,,,,7.00,3.00,,,MANUAL,C3000D,,
SO02-IDM210900224,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU04779,DESA CEMPLANG  KECAMATAN CIBUNGBULANG KAB. BOGOR,DPDCM00005,COR JALAN DESA CEMPLANG CIBUNGBULANG,BOGOR    , ,25FI12A06R1X,24.00 ,24.0,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,,,,,,MANUAL,C0000E,,
SO02-IDM210900242,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU04779,DESA CEMPLANG  KECAMATAN CIBUNGBULANG KAB. BOGOR,DPDCM00005,COR JALAN DESA CEMPLANG CIBUNGBULANG,BOGOR    , ,25FI12A06R1X,10.00 ,10.0,,,,,,,,,,,,,,,,,,6.00,4.00,,,,,,MANUAL,C0000E,,
SO02-IDM210900244,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU04682,PT. ATHAILLAH KARYA MAKMUR,DPAKM00008,SENTUL MAKARA,SENTUL    , ,30FI12A06XXX,20.00 ,20.0,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900225,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,150.00 ,14.0,,,,,,,,,,,,,,7.00,7.00,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210900005,1,Y,15/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,12BX18A06RBC,280.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210900006,1,Y,15/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,30PX10A06RBC,500.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210900007,1,Y,15/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,35BX18A06RBC,225.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C4500D,,
SO02-IDM210900226,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,17PX12A06R1X,50.00 ,7.0,,,,,,,,,,,,,,,,7.00,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900247,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU02435,PT MENTARI AULIA PERSADA,DPMAP00067,PEMBANGUNAN GEDUNG SATLANTAS CV. RAJAWALI JAYA SAKTI,"JALAN TEGAR BERIMAN, TENGAH, CIBINONG BOGOR, JAWA BARAT    ", ,30FI12A06XXX,21.00 ,21.0,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900134,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,15MI10A06BGR,78.00 ,6.0,,,,,,,,,,,6.00,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210900046,1,Y,16/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,879.50 ,56.0,,,,,,,,,,,,,,14.00,14.00,14.00,14.00,,,,,,,,MANUAL,C3000D,,
