S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210900343,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,934.00 ,84.0,,,,,,,,,,,,,,,,,,21.00,21.00,21.00,21.00,,,,CPS,C3000D,,
SO02-IDM210900225,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,150.00 ,14.0,,,,,,,,,,,,,,7.00,7.00,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900226,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,17PX12A06R1X,50.00 ,7.0,,,,,,,,,,,,,,,,7.00,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900358,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,100.00 ,10.0,,,,,,,,,,,,,7.00,3.00,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210900241,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,112.00 ,10.0,,,,,,,,,,,,,,,,,,,,,7.00,3.00,,,MANUAL,C3000D,,
SO03-IDM210900239,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,290.00 ,14.0,,,,,,,,,,,,,,,,,,,7.00,7.00,,,,,MANUAL,C3000D,,
SO03-IDM210900005,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,12BX18A06RBC,220.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210900006,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,30PX10A06RBC,460.00 ,6.0,,,,,,,,,,,,,,6.00,,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210900007,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,35BX18A06RBC,172.00 ,6.0,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C4500D,,
SO03-IDM210900314,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,15MI10A06BGR,1000.00 ,6.0,,,,,,,,,,,,,,6.00,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210900315,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,10MI10A06BGR,1000.00 ,6.0,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210900316,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,30MX10A06BGR,1000.00 ,6.0,,,,,,,,,,,,,,,,6.00,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210900379,1,Y,22/09/2021,LUDI PURNAMA,CU01147,PT TAKENAKA INDONESIA,DPTNI00060,AEON MALL SENTUL - MISCELLANEOUS JL MH THAMRIN CITARINGGUL KEC BABAKAN MADANG,BOGOR    , ,20MX12A06XXX,15.87 ,15.9,,,,,,,,15.87,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210900384,1,Y,22/09/2021,LUDI PURNAMA,CU01781,PT PAGAR BATU LESTARI,DPPBL00004,PODOMORO GOLF VIEW,CIMANGGIS    , ,30FI08C06XXX,25.00 ,10.0,,,,,,,,,5.00,5.00,,,,,,,,,,,,,,,MANUAL,C4500D,,
SO02-IDM210900357,1,Y,22/09/2021,LUDI PURNAMA,CT03402,BP SUPARNO (NIK 1802221506790003),DRSNO00032,IBU VERO. GRIYA ANGGRAINI BLOK D1 NO 2 KARANG ASEM CITEUREUP,BOGOR    , ,27FI12A06XXX,5.50 ,5.5,,,,,,,,,5.50 ,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210900240,1,Y,22/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,M5PXXXS06XXX,15.00 ,2.0,,,,,,,,,,,,,,2.00,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210900373,1,Y,22/09/2021,LUDI PURNAMA,CU02816,CV INDOBARU MANDIRI,DPIBM00120,PT BRINGIN KARYA SEJAHTERA. PONDASI BOTANI MART JL RAYA DRAMAGA NO 203,BABAKAN BOGOR    , ,25PX12A06XXX,8.50 ,8.5,,,,,,,,,8.50,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210900377,1,Y,22/09/2021,ANDRY CHRISTIANTO,CT04935,BP PANDU ARDHYANTO (NIK 3674030405880005),DRPAO00002,OCBD OLYMPIC JL RAYA BOGOR RT 1 RW 8 TALANG KEDUNGHALANG,BOGOR    , ,22FI12A06XXX,15.00 ,15.0,,,,,,,,,,15.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
