S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210700046,1,Y,16/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,81.00 ,7.0,,,,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700047,1,Y,16/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,142.00 ,14.0,,,,,7.00,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700048,1,Y,16/07/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,17PX12A06R1X,42.00 ,7.0,,,,,,7.00,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700087,1,Y,16/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1189.26 ,63.0,,,,,,,,21.00,21.00,21.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210500093,1,Y,16/07/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,385.00 ,7.0,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM210700009,1,Y,16/07/2021,LUDI PURNAMA,CU04685,PT. BUMI BRAWA BERDIKARI,DPBBK00002,APARTEMEN LA MONTANA BOGOR NIRWANA RESIDENCE,BOGOR    , ,30MI16A06ALM,6.00 ,3.0,,,,,,,3.00,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO08-IDM210700010,1,Y,16/07/2021,LUDI PURNAMA,CU04685,PT. BUMI BRAWA BERDIKARI,DPBBK00002,APARTEMEN LA MONTANA BOGOR NIRWANA RESIDENCE,BOGOR    , ,30MX16A06ALM,6.00 ,3.0,,,,,,,3.00,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700220,1,Y,16/07/2021,LUDI PURNAMA,CU01781,PT PAGAR BATU LESTARI,DPPBL00004,PODOMORO GOLF VIEW,CIMANGGIS    , ,30FI12A06XXX,100.00 ,100.0,,,21.00,21.00,21.00,21.00,16.00,,,,,,,,,,,,,,,,,,MANUAL,C4500D,,
SO02-IDM210700191,1,Y,16/07/2021,DEDE JUNAEDI,CU04607,PT. DEKA CIPTA CEMERLANG,DPDCC00006,PERUMAHAN CIBUBUR CBD CLUSTER GRANBURY BLOK G01 NO 17,CIBUBUR    , ,22FI12A06XXX,9.50 ,9.5,,9.50,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700190,1,Y,16/07/2021,FERDY WIDASMARA,CU01745,PT PUSAKA SINAR INTAN,DPPSI00042,CITRA GRAND CBD CIBUBUR BLOK G3,CIBUBUR    , ,22FI12A06XXX,37.00 ,37.0,,,21.00,16.00,,,,,,,,,,,,,,,,,,,,,CPS,C3000C,,
SO02-IDM210700126,1,Y,16/07/2021,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00012,PROYEK SUMMARECON BOGOR R6,BOGOR    , ,30FD12A06XXX,20.00 ,4.0,,,,,4.00,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
