S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210900046,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1093.00 ,56.0,,,,,,,,,,,,,,14.00,14.00,14.00,14.00,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900005,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,12BX18A06RBC,300.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM210900006,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,30PX10A06RBC,500.00 ,6.0,,,,,,,,,,,,,,6.00,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM210900007,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,35BX18A06RBC,225.00 ,6.0,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C4500D,,,
SO02-IDM210900099,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,52.00 ,20.0,,,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM210900162,1,Y,13/09/2021,LUDI PURNAMA,CU04763,PT. BALA BIRAWA PERKASA,DPBBP00007,KAWASAN INDUSTRI OLYMPIC SENTUL BLOK H11,SENTUL    , ,30FD12A06XXX,125.00 ,10.3,,,,,,,,,10.30,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210900208,1,Y,13/09/2021,LUDI PURNAMA,CU01321,CV VANGGITA EKA JAYA,DPVEJ00143,BP TOMBUS NABABAN. PERUMAHAN KAVLING UI TIMUR TANAH BARU,KOTA DEPOK    , ,30PX12A06XXX,9.00 ,9.0,,,,,,,,,,,9.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900139,1,Y,13/09/2021,LUDI PURNAMA,CU04706,PT. RIKANANTA PROPERTINDO,DPRKP00004,PERUMAHAN D MARCO JL RAYA JAKARTA BOGOR KM 39 SUKAMAJU KEC CILODONG,DEPOK    , ,30FD12A06XXX,75.00 ,75.0,,,,,,,,,21.00,21.00,21.00,12.00,,,,,,,,,,,,,MANUAL,C3000A,,,
SO02-IDM210900183,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU04612,PT. PROYEKIN BANGUN NEGERI,DPPBN00042,PERUM BARANANG SIANG INDAH BLOK P5 NO 20 BARANANG SIANG,BOGOR    , ,25PX12A06XXX,13.00 ,13.0,,,,,,,,,13.00,,,,,,,,,,,,,,,,CPS,C0000E,,,
SO02-IDM210900066,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,100.00 ,10.0,,,,,,,,,,7.00,3.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210800495,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU04684,PT. SETIA HANDA MANDIRI,DPSHM00013,RUMAH SAKIT AISYAH CIBINONG DEPAN INDOMARET,BOGOR    , ,30PX12A06XXX,21.00 ,18.0,,,,,,,,,,6.00,6.00,6.00,,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM210800496,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU04684,PT. SETIA HANDA MANDIRI,DPSHM00013,RUMAH SAKIT AISYAH CIBINONG DEPAN INDOMARET,BOGOR    , ,LCFI12A06XXX,63.00 ,12.0,,,,,,,,12.00,,,,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM210900103,1,Y,13/09/2021,ANDRY CHRISTIANTO,CU04684,PT. SETIA HANDA MANDIRI,DPSHM00013,RUMAH SAKIT AISYAH CIBINONG DEPAN INDOMARET,BOGOR    , ,30PX12A06XXX,15.00 ,6.0,,,,,,,,,,6.00,,,,,,,,,,,,,,,MANUAL,C4500D,,,
