S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220600305,1,Y,21/06/2022,LUDI PURNAMA,CU00481,PT EPSYLON CITRA INFORMATIKA,DRECI00026,JL PURI KENCANA 22A / PURI MAHKOTA 19 CLUSTER IMPERIAL GOLF SENTUL CITY,BOGOR    , ,25FI12A06XXX,10.00 ,10.00 ,10.00,,,,,,,,10.00,,,,,,,,,,,,,,,,,CPS,C0000A,,
SO03-IDM220600190,1,Y,21/06/2022,LUDI PURNAMA,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,535.00 ,535.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220500009,1,Y,21/06/2022,LUDI PURNAMA,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,45.00 ,20.00 ,6.00,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM220600301,1,Y,21/06/2022,LUDI PURNAMA,CU05036,PT. GRIYA AKSEN PERSADA,DPGAA00002,PEKERJAAN PEMBANGUNAN RUMAH TINGGAL PERUM BELLA CASA BLOK B9/8,DEPOK    , ,25FI12A06XXX,3.00 ,3.00 ,3.00,,,,,,,,3.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM220600031,1,Y,21/06/2022,LUDI PURNAMA,CU04520,PT. SINERGITAS BANGUN GRAHA,DPSBA00017,CIMANGGIS GOLF ESTATE TAPOS,DEPOK    , ,25FD12A06XXX,50.00 ,41.00 ,6.00,,,,,,,,,6.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM220400250,1,Y,21/06/2022,LUDI PURNAMA,CU05036,PT. GRIYA AKSEN PERSADA,DPGAA00002,PEKERJAAN PEMBANGUNAN RUMAH TINGGAL PERUM BELLA CASA BLOK B9/8,DEPOK    , ,25FI12A06XXX,1.00 ,1.00 ,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220400386,1,Y,21/06/2022,LUDI PURNAMA,CU05036,PT. GRIYA AKSEN PERSADA,DPGAA00002,PEKERJAAN PEMBANGUNAN RUMAH TINGGAL PERUM BELLA CASA BLOK B9/8,DEPOK    , ,25FI12A06XXX,27.00 ,6.00 ,6.00,,,,,,,,6.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
