S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210700047,1,Y,04/08/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,64.50 ,10.0,,,,,,,,,7.00,3.00,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700048,1,Y,04/08/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,17PX12A06R1X,26.00 ,10.0,,,,,,,,,,,7.00,3.00,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700357,1,Y,04/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,593.47 ,10.0,,,,,,,,,,,,7.00,3.00,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210700358,1,Y,04/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,311.36 ,10.0,,,,,,,,,,,,,,7.00,3.00,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210700377,1,Y,04/08/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,529.26 ,49.0,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,,MANUAL,C3000D,,
SO02-IDM210700384,1,Y,04/08/2021,LUDI PURNAMA,CU02370,PT WASTUDIPTA ADHI GRAHA,DPWAG00005,"PERUMAHAN BUKIT SAKINAH. JL RAYA KARACAK KM 2,5",DS BARENGKOK LEUWILIANG    , ,22FI12A06XXX,84.00 ,84.0,,,,,,,,,,21.00,21.00,21.00,21.00,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210700126,1,Y,04/08/2021,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00012,PROYEK SUMMARECON BOGOR R6,BOGOR    , ,30FD12A06XXX,6.00 ,5.0,,,,,,,,,,,5.00,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210700373,1,Y,04/08/2021,DEDE JUNAEDI,CU02175,PT SARDO TAMA ABADI,DPSTA00053,INFRA AUCKLAND THP 3 PROYEK METLAND TRANSYOGI,CILEUNGSI    , ,25FI12A06XXX,109.00 ,28.0,,,,,,,,,,7.00,7.00,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210800032,1,Y,04/08/2021,ANDRY CHRISTIANTO,CU04524,PT. SAR PARADISE INVESTASI,DPSPS00004,JL SARINEMBAH KP JAMAKIR NO 2 (SAMPING PLANT CITEUREUP),CITEUREUP    , ,25PX12A06XXX,3.00 ,3.0,,,,,,,,,,,,3.00,,,,,,,,,,,,,MANUAL,C3000D,,
